bearer;id;type;description;firstname;firstname_tu;firstname_fr;firstname_es;firstname_jp;firstname_ko;firstname_sc;firstname_tc;firstname_de;firstname_ru;firstname_it;firstname_bp;generated;generated_tu;generated_fr;generated_es;generated_jp;generated_ko;generated_sc;generated_tc;generated_de;generated_ru;generated_it;generated_bp;name;name_tu;name_fr;name_es;name_jp;name_ko;name_sc;name_tc;name_de;name_ru;name_it;name_bp;title;title_tu;title_fr;title_es;title_jp;title_ko;title_sc;title_tc;title_de;title_ru;title_it;title_bp
wight;;;;;;;;;;;;;;;;? ? ?;;;;;;;;;;;;The Wight;;Le spectre;La creatura;;;;;Der Wiedergänger;Вихт;Il Non-Morto;A criatura;;;;;;;;;;;;
wall;111;special;;;;;;;;;;;;;;On the Wall;;Sur le Mur;En el Muro;壁の上;장벽 위;长城顶上;長城頂上;Auf der Mauer;На Стене;Sulla Barriera;Na Muralha;The Wall;;Le Mur;El Muro;壁;장벽;长城;長城;Die Mauer;Стена;La Barriera;A Muralha;;;;;;;;;;;;
cell;108;special;;;;;;;;;;;;;;A cell;;Une cellule;Una celda;独房;감옥;牢房;牢房;Eine Zelle;Камера;Una cella;Uma cela;The Cell;;La cellule;La celda;独房;감옥;牢房;牢房;Die Zelle;Камера;La cella;A cela;;;;;;;;;;;;
jailor;110;individual;;;;;;;;;;;;;;Jeor;;Jéor;Jeoro;ジェオル;제오;杰奥;傑奧;Jeor;Джеор;Jeor;Jeor;The Jailor;;Le Geôlier;El carcelero;看守;간수;狱卒;獄卒;Der Kerkermeister;Тюремщик;Il carceriere;O Carcereiro;Jailor;;Geôlier;Carcelero;看守;간수;狱卒;獄卒;Kerkermeister;Тюремщик;Carceriere;Carcereiro
coins;1;function;Male of female. Office that can be assumed by be different people.;;;;;;;;;;;;;;;;;;;;;;;;;The Master of Coin;;[Le Grand Argentier%La Grande Argentière];[El Consejero%La Consejera] de la Moneda;大蔵大臣;재무대신;财政大臣;財政大臣;[Der Meister%Die Meisterin] der Münze;Мастер над монетой;Il Maestro del Conio;[O Mestre%A Mestra] da Moeda;Master of Coin;;[Grand Argentier%Grande Argentière];[Consejero%Consejera] de la Moneda;大蔵大臣;재무대신;财政大臣;財政大臣;[Meister%Meisterin] der Münze;Мастер над монетой;Maestro del Conio;[Mestre%Mestra] da Moeda
grand_maester;3;function;Male.;;;;;;;;;;;;;;;;;;;;;;;;;The Grand Maester;;Le Grand Mestre;El Gran Maestre;グランドメイスター;그랜드 마에스터;大学士;大學士;Der Großmaester;Великий мейстер;Il Gran Maestro;O Grande Meistre;Grand Maester;;Grand Mestre;Gran Maestre;グランドメイスター;그랜드 마에스터;大学士;大學士;Großmaester;Великий мейстер;Gran Maestro;Grande Meistre
hand;2;function;Male or female.;;;;;;;;;;;;;;;;;;;;;;;;;The Hand;;La Main;La Mano;王の手;핸드;御前首相;御前首相;Die Hand;Десница;Il Primo Cavaliere;[O%A] Mão;Hand of the (King*Queen);;Main (du Roi*de la Reine);Mano (del Rey*de la Reina);(王*女王)の手;(왕*여왕)의 핸드;(国王*女王)之手;(國王*女王)之手;Hand (des Königs*der Königin);Десница (короля*королевы);Primo Cavaliere (del Re*della Regina);Mão (do Rei*da Rainha)
high_septon;62;function;Male and pious.;;;;;;;;;;;;;;;;;;;;;;;;;The High Septon;;Le Grand Septon;El Septón Supremo;ハイ・セプトン;하이 셉톤;总主教;總主教;Der Hohe Septon;Верховный септон;L'Alto Septon;O Alto Septão;High Septon;;Grand Septon;Septón Supremo;ハイ・セプトン;하이 셉톤;总主教;總主教;Hoher Septon;Верховный септон;Alto Septon;Alto Septão
spider;4;function;Male of female.;;;;;;;;;;;;;;;;;;;;;;;;;The Spider;;L'Araignée;La Araña;スパイダー;스파이더;八爪蜘蛛;八爪蜘蛛;Die Spinne;Паук;Il Ragno;[O%A] Aranha;Master of Whisperers;;[Maître%Maîtresse] des Chuchoteurs;[Consejero%Consejera] de los Rumores;諜報大臣;첩보대신;情报大臣;情報大臣;[Meister%Meisterin] der Flüsterer;Мастер над шептунами;Maestro dei Sussurri;[Mestre%Mestra] dos Sussurros
courtesan;94;generated;Female and people.;;;;;;;;;;;;;<essos_first_female>;;<essos_first_female>;<essos_first_female>;<essos_first_female>;<essos_first_female>;<essos_first_female>;<essos_first_female>;<essos_first_female>;<essos_first_female>;<essos_first_female>;<essos_first_female>;The Courtesan;;La Courtisane;La Cortesana;高級売春婦;춘희;交际花;交際花;Die Kurtisane;Проститутка;La cortigiana;A Cortesã;Courtesan;;Courtisane;Cortesana;高級売春婦;춘희;交际花;交際花;Kurtisane;Проститутка;Cortigiana;Cortesã
