id;bearer;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
1;general;Your fortress is too weak. We should build a new tower.;Kaleniz fazla zayıf. Yeni kule inşa etmeliyiz.;Votre forteresse est trop fragile. Construisons une nouvelle tour.;Vuestra fortaleza es demasiado frágil. Construyamos una nueva torre.;陛下、城の守りが不十分です。+新たに砦を建設しましょう。;폐하, 성 방어가 부실합니다. 요새를 새로 건설해야 합니다.;堡垒防守太过薄弱。+我们应该再建一座瞭望塔。;堡壘防守太過薄弱。+我們應該再建一座瞭望塔。;Eure Festung ist zu schwach. Wir sollten einen neuen Turm bauen.;Ваша крепость слаба. Нам нужно построить новую башню.;La Vostra fortezza è troppo debole. Dobbiamo costruire una nuova torre.;Sua fortaleza é muito fraca. Sugiro construir uma nova torre.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;general;Let me build fortifications around the capital. It's costly, but well worth the bother.;Başkentin çevresine sur inşa edelim. Pahalı olacak, ama parasına değecek.;Laissez-moi construire des fortifications autour de la capitale. Nous ne pouvons pas nous en passer.;Dejadnos construir fortificaciones alrededor de la capital. Es costoso pero merece la pena.;王都を守る城壁を建設しましょう。+費用はかさみますが、+それに見合った効果はあります。;수도를 방어할 성벽을 건설해야 합니다. 비용은 들겠지만 그만한 효과가 있습니다.;请允许我在都城周围修建更多防御工事吧。+虽然会花掉很多钱，但一定会物有所值。;請允許我在都城周圍修建更多防禦工事吧。+雖然會花掉很多錢，但一定會物有所值。;Lasst mich Befestigungen um die Hauptstadt herum errichten. Das ist teuer, aber es lohnt sich.;Давайте построим укрепления вокруг столицы. Это дорого, но стоит того.;Lasciatemi fortificare la capitale. È un investimento che si ripagherà nel tempo.;Deixe-me construir uma proteção ao redor da capital. É caro, mas necessário.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;monk;We would like to build a school in the capital for the enlightenment of the people.;Halkın eğitilmesi için başkentte yeni bir okul inşa etmek istiyoruz.;Nous voulons construire une école dans la capitale pour éduquer le peuple.;Queremos construir una escuela en la capital para educar al pueblo.;王都に学校を建設しましょう。+民を啓蒙するのです。;수도에 학교를 건설하여 백성을 교육해야 합니다.;我们想在都城建一所学校来教化人民。;我們想在都城建一所學校來教化人民。;Wir möchten für die Bildung des Volkes sorgen und eine Schule in der Hauptstadt errichten.;Мы хотим построить школу в столице для просвещения народа.;Vorremmo costruire una scuola nella capitale per educare il popolo.;Gostaríamos de construir uma escola na capital para instruir o povo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;merchant;The Merchant's Guild would like to adorn the marketplace of the capital with a statue of Your Majesty.;Tüccarlar Loncası başkent pazarına sizin bir heykelinizi inşa ettirmek istiyor, Hazretleri.;La Guilde des marchands voudrait orner la place du marché de la capitale avec une statue de Votre Majesté.;El Gremio de Mercaderes quiere decorar la plaza de la capital con una estatuta de Su Majestad.;商人ギルドでは、王都の市場に陛下の像を+建てたいと考えております。いかがでしょう？;상인길드에서는 시장에 폐하의 동상을 건설하려 합니다만, 어떠신지요?;商人行会想要在首都的集市上+建一座陛下的雕像来作为装饰。;商人行會想要在首都的集市上+建一座陛下的雕像來作為裝飾。;Die Händlergilde möchte den Marktplatz der Hauptstadt mit einer Statue Eurer Majestät schmücken.;Гильдия купцов желает украсить рынок статуей Вашего Величества.;La Gilda dei Mercanti vorrebbe adornare la piazza del mercato della capitale con una statua di Vostra Maestà.;A Guilda dos Comerciantes gostaria de decorar o mercado da capital com uma estátua de Vossa Majestade.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;merchant;We want to build a new marketplace. It will open our economy to foreign trade.;Yeni bir pazar yer inşa etmek istiyoruz. Ekonomimizi dış ticarete açacaktır.;Nous voulons aménager une nouvelle place du marché. Cela ouvrira notre économie au commerce extérieur.;Queremos abrir un mercado nuevo. Así nuestra economía se abrirá al comercio exterior.;陛下、新たな市場を設けましょう。+諸外国との交易が可能になりますよ。;폐하, 시장을 짓는 건 어떠신지요? 외국과 교역을 할 수 있을 겁니다.;我们想要新建一座集市。+这样我们就可以开放对外贸易了。;我們想要新建一座集市。+這樣我們就可以開放對外貿易了。;Wir wollen einen neuen Marktplatz bauen. Er wird unserer Wirtschaft den Fernhandel eröffnen.;Мы хотим построить новый рынок, это откроет нашу экономику для международной торговли.;Vogliamo realizzare una nuova piazza del mercato. Aprirà la nostra economia al commercio estero.;Queremos construir um novo mercado, isso abrirá portas para o comércio exterior.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;merchant;Our economy is flourishing thanks to our effort to regulate trade! We should create a central bank.;Ticareti denetim altına alma girişimlerimiz sayesinde ekonomimiz büyüyor! Merkezi banka oluşturmalıyız.;L'économie est florissante grâce à nos efforts pour réguler le commerce ! Construisons une banque centrale !;La economía florece gracias a nuestros esfuerzos por regular el comercio... ¡Construyamos un banco central!;われわれ商人ギルドが商取引を統制してきた+おかげで、わが国の経済は潤っています。+中央銀行を設立しましょう。;우리 상인길드가 상거래를 통제해 온 덕택에 왕국 경제가 윤택해졌습니다. 자, 중앙은행을 설립하는건 어떻습니까?;得益于我们在贸易管理方面做出的努力，+国民经济正在蓬勃发展！+我们应该创立一所中央银行。;得益於我們在貿易管理方面做出的努力，+國民經濟正在蓬勃發展！+我們應該創立一所中央銀行。;Da wir den Handel zu regulieren versuchen, floriert die Wirtschaft! Wir sollten eine Zentralbank schaffen.;Благодаря нашим усилиям по регулированию торговли экономика процветает! Нужно создать центральный банк.;I nostri sforzi per regolare il commercio hanno fatto fiorire l'economia! Dovremmo creare una banca centrale.;A economia está em ascensão graças aos esforços para administrar o comércio! Sugiro criarmos um banco central.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;monk;We would like you to bless the new churches.;Yeni kiliseleri kutsamanızı istiyoruz.;Acceptez-vous de bénir les nouvelles églises?;¿Os gustaría dar la bendición a las nuevas iglesias?;陛下、新たに設立された教会を+祝福していただけませんか。;폐하, 새로 설립된 교회를 축복해 주시겠습니까.;我们希望陛下能莅临新建的教堂为之祈福。;我們希望陛下能蒞臨新建的教堂為之祈福。;Wir möchten Euch bitten, die neuen Kirchen zu segnen.;Мы хотим, чтобы вы благословили новые церкви.;Vorremmo chiedervi di benedire le nostre nuove chiese.;Gostaríamos que abençoasse as novas igrejas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;priest;We need to build a new church.;Yeni kilise inşa etmeliyiz.;Nous devons construire une nouvelle église.;Hay que construir una nueva iglesia.;陛下、新たな教会を建設するべきです。;폐하, 새로운 교회를 설립해야 합니다.;我们应该新建一座教堂。;我們應該新建一座教堂。;Wir müssen eine neue Kirche bauen.;Нужно построить новую церковь.;Dobbiamo costruire una nuova chiesa.;Precisamos construir uma igreja nova.;;;;;;;;;;;;;;;;;;;;;;;;;Don't we have enough?;Yeterince yok mu?;N'en avons-nous pas suffisamment ?;¿Acaso no tenemos suficientes?;これ以上、必要なかろう;이미 충분하지 않나.;我们建得还不够多吗？;我們建得還不夠多嗎？;Haben wir nicht schon genug?;Разве у нас не достаточно?;Non ne abbiamo già abbastanza?;Já não temos o suficiente?;;;;;;;;;;;;;
9;farmer;Sire, we should spend some money to build a communal barn to prevent famine.;Efendim, kıtlık yaşanmaması için biraz para harcayıp halk ambarı inşa etmeliyiz.;Sire, nous devrions consacrer un peu d'argent à la construction d'une grange commune, afin d'éviter la famine.;Señor, debemos gastar algo de dinero en construir una granja comunal para evitar la hambruna.;陛下、村人がみんなで使える+納屋を建ててください。+そこに食糧を蓄えれば、+飢饉に備えることができます。;폐하, 사람들 모두를 위한 창고를 지어 주십시오. 그곳에 음식을 저장하면 기근에 대비할 수 있습니다.;陛下，我们应该拨款+建造一座公用谷仓来预防饥荒。;陛下，我們應該撥款+建造一座公用穀倉來預防饑荒。;Majestät, wir sollten Geld für eine Gemeindescheune ausgeben und so Hungersnöten vorbeugen.;Сир, нужно выделить деньги на общественный амбар, чтобы не было голода.;Sire, dovremmo investire del denaro nella costruzione di un granaio pubblico per prevenire la carestia.;Majestade, deveríamos investir na construção de um celeiro público para prevenção da fome.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;priest;Your people in the North are superstitious and impious. Build more churches?;Kuzeydeki halkınız batıl inançlı ve kafir. Daha fazla kilise inşa edelim mi?;La population du Nord est superstitieuse et ne respecte pas notre Foi. Construisons des églises !;Los pueblos del Norte son supersticiosos y no respetan vuestra fe. ¡Construyamos más iglesias!;北部の民は迷信に惑わされ、+神を敬おうとしません。+もっと教会の数を増やすべきでは？;북부의 백성은 미신에 현혹되어 신을 믿으려 하지 않습니다. 교회 수를 더 늘려야 할 것 같습니다.;北方的人民迷信而不虔诚，+是否修建更多教堂？;北方的人民迷信而不虔誠，+是否修建更多教堂？;Die Bevölkerung im Norden ist abergläubisch und gottlos. Baut Ihr mehr Kirchen?;Ваш народ на Севере — суеверные безбожники. Построить больше церквей?;Il popolo del Nord è superstizioso e sacrilego. Costruiamo più chiese?;O povo do Norte é supersticioso e ímpio. Construir mais igrejas?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
