tag;title;tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;description;tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description
;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.
jon_super;King Crow;;Roi Corbeau;Rey Cuervo;カラスの王;까마귀 왕;乌鸦之王;烏鴉之王;Königskrähe;Король-ворона;Re Corvo;O rei corvo;No one will doubt your authority or your honor, even if you hoard as much <*power*> as possible.;;Personne ne doute de votre autorité ou de votre honneur, même si vous accumulez autant de <*pouvoir*> que possible.;Nadie pondrá en duda tu autoridad o tu honor, ni siquiera aunque acapares tanto <*poder*> como te sea posible.;できる限り<*権力*>をかき集めても、+誰もあなたの権威と名誉を+疑うことはないだろう。;아무리 많은 <*권력*>을 비축하더라도, 그 누구도 당신의 권위와 명예를 의심하지 않을 것입니다.;没有人会质疑你保护王国的忠心，+就算你肆意扩张<*权力*>也没关系;沒有人會質疑你保護王國的忠心，就算你肆意擴張<*權力*>也沒關係;Niemand wird Eure Autorität oder Ehre in Frage stellen, selbst wenn Ihr so viel <*Macht*> wie möglich ansammelt.;Никто не усомнится в вашей чести, как много <*власти*> вы ни обрели бы.;Nessuno dubiterà della vostra autorità o del vostro onore, anche se accrescerete al massimo il vostro <*potere*>.;Ninguém duvidará da sua autoridade ou da sua honra, mesmo que você acumule o máximo possível de <*poder*>.
daenerys_super;Dracarys;;Dracarys;Dracarys;ドラカリス;드라카리스;龙焰;龍焰;Dracarys;Дракарис;Dracarys;Dracarys;Drogon is awake! The great Houses are afraid of him. The <*people*>'s love is no longer a threat to your throne.;;Drogon s'est réveillé ! Les Grandes Maisons ont peur de lui. L'amour du <*peuple*> n'est plus une menace pour votre règne.;¡Drogon está despierto! Las Grandes Casas le tienen miedo. El amor del <*pueblo*> ya no es una amenaza para tu trono.;ドロゴンが目を覚ました！+諸名家は彼を恐れている。+<*人々*>の愛情はあなたの王位を+脅かすことはなくなる。;드로곤이 깨어났습니다! 대 가문들은 드로곤을 두려워합니다. <*사람*>들의 사랑은 더 이상 왕좌에 위협이 되지 않습니다.;卓耿醒了！几大家族对他惧怕不已+<*民众*>的支持再也不会影响你的统治了;卓耿醒了！幾大家族對他懼怕不已+<*民眾*>的支持再也不會影響你的統治了;Drogon ist erwacht! Die Großen Häuser fürchten ihn. Die Liebe des <*Volkes*> ist keine Gefahr mehr für Euren Thron.;Дрогон пробудился, и Великие дома трепещут перед ним. Любовь <*народа*> больше вас не интересует.;Drogon è sveglio! Le Grandi Case lo temono. Il consenso del <*popolo*> non rappresenta più una minaccia per il vostro trono.;Drogon despertou! As grandes Casas o temem. O amor do <*povo*> não é mais uma ameaça ao seu trono.
riders_super;Dragon riders;;Chevaucheurs de dragon;Jinetes de Dragones;ドラゴンライダー;드래곤 라이더;龙骑士;龍騎士;Drachenreiter;Драконьи всадники;A cavallo di draghi;Cavaleiros dos dragões;Rhaegal is mounted and flies alongside Drogon. Many see you as the last chance to protect the realm against the White Walkers.;;Rhaegal a un cavalier et vole aux côtés de Drogon. Beaucoup vous considèrent comme la dernière chance du royaume face aux marcheurs blancs.;Rhaegal es montado y vuela junto a Drogon. Para muchos eres la última oportunidad de proteger el reino contra los Caminantes Blancos.;レイガルは騎士を乗せ、+ドロゴンと共に飛ぶ。+多くの人々があなたを+ホワイト・ウォーカーから国を守る+最後の砦だと見ている。;라에갈의 등에 사람의 모습이 보이며 드로곤과 함께 날아갑니다. 많은 이들이 화이트 워커로부터 왕국을 수호할 마지막 희망이 당신이라고 생각합니다.;异鬼骑上了雷哥，与卓耿同飞+人们都将你视为保护全境不受异鬼危害+的最后机会;異鬼騎上了雷哥，與卓耿同飛+人們都將你視為保護全境不受異鬼危害+的最後機會;Rhaegal wird geritten und fliegt neben Drogon. Viele sehen in Euch die letzte Chance, das Reich vor den Weißen Wanderern zu beschützen.;Теперь у Рейгаля есть собственный всадник, и он может сражаться вместе с Дрогоном. Кому, как не вам, защитить всех от ходоков?;Rhaegal è cavalcato e vola accanto a Drogon. Per molti siete l'ultima speranza: l'unica persona capace di difendere il regno dagli Estranei.;Rhaegal está montado e voa ao lado de Drogon. Muitos veem você como a última chance de proteger o reino contra os vagantes brancos.
cersei_super;Baelor's bane;;Fléau de Baelor;Flagelo de Baelor;ベイラーの災い;바엘로르의 골칫거리;圣堂之祸;聖堂之禍;Baelors Unheil;Бич Бейлора;Il flagello di Baelor;Destruição de Baelor;The Great Sept of Baelor has been destroyed. The Faith Militant cannot return, no matter how poorly you treat the institution of <*faith.*>;;Le Grand Septuaire de Baelor a été détruit. La Foi Militante ne peut pas faire son retour, même si votre <*foi*> est faible.;El Gran Septo de Baelor ha sido destruido. La Fe Militante no podrá regresar, por muy mal que trates a la institución de la <*fe*>.;ベイラーでの偉大なるセプトが滅ぼされた。+どれだけ<*信仰*>を軽視しても、+聖兵が再編されることはなくなった。;바엘로르의 대셉트가 파괴되었습니다. 당신이 얼마나 <*종교*> 제도에 소홀했든, 무장교단은 돌아올 수 없습니다.;贝勒大圣堂被炸毁，+意味着无论你如何苛待<*教会*>，+教会武装都再无反抗的可能。;貝勒大聖堂被炸毀，+意味著無論你如何苛待<*教會*>，+教會武裝都再無反抗的可能。;Die Große Septe von Baelor ist zerstört. Der Kriegerische Arm kehrt nie zurück, wie sehr Ihr Vertreter des <*Glaubens*> auch brüskiert.;Уничтожение Великой септы Бейлора поставило на Святом воинстве крест — мнение людей <*веры*> больше вас не волнует.;Il Grande Tempio di Baelor è stato distrutto. Il Credo Militante non tornerà, a prescindere da quanto sviliate la <*fede.*>;O Grande Septo de Baelor foi destruído. A Fé Militante não pode retornar, por pior que você trate a instituição da <*fé.*>
machines_super;War machines;;Engins de guerre;Máquinas de guerra;攻城兵器;전쟁기계;战争机器;戰爭武器;Kriegsmaschinen;Боевые машины;Macchine da guerra;Máquinas de guerra;By stabilizing wildfire, you managed to create the most formidable war machines the world has ever known.;;En contrôlant le feu grégeois, vous avez réussi à créer les engins de guerre les plus redoutables de l'histoire.;Con la estabilización del fuego valyrio, te las arreglas para crear las máquinas de guerra más formidables que el mundo ha conocido hasta ahora.;炎素を安定化させることで、+世界で最も恐ろしい兵器を+作り出すことができた。;와일드파이어를 안정화시킨 당신은 세상이 여태껏 몰랐던 가장 어마어마한 전쟁기계를 만들 수 있게 되었습니다.;稳定了野火后，你成功地+造出了世间最具威慑力的战争机器;穩定了野火後，你成功地+造出了世間最具威懾力的戰爭機器;Durch Stabilisierung des Seefeuers konntet Ihr die schlagkräftigsten Kriegsmaschinen herstellen, die die Welt je gesehen hat.;Подчинив себе дикий огонь, вы построили самые ужасные орудия убийства, которые только знал мир.;Stabilizzando l'Altofuoco avete creato le macchine da guerra più formidabili che si siano mai viste.;Ao estabilizar o fogo selvagem, você conseguiu criar as mais formidáveis máquinas de guerra que o mundo já viu.
tyrion_super;Debtless;;Fonds illimités;Sin deuda;貸しを持たぬ者;자산 관리 전문가;无债一身轻;無債一身輕;Schuldenfrei;Богатство;Senza debiti;Sem dívidas;Your expertise with money is such that you will always find a way to replenish the <*treasury*>.;;Votre expertise comptable vous permet de toujours trouver un moyen de remplir les <*caisses*> du royaume.;Tu experiencia con el dinero es tal que siempre encontrarás una manera de reponer el <*tesoro*>.;いかなる時でも<*財貨*>を+得る手段を見つけられるほど、+あなたは財貨の扱いに長けている。;당신은 돈에 관한 전문지식이 뛰어나 <*금고*>를 언제나 다시 채울 수 있는 방법을 찾을 수 있습니다.;你擅长与钱打交道，总能+找到办法填满 <*国库*>;你擅長與錢打交道，總能+找到辦法填滿 <*國庫*>;Ihr könnt so gut mit Geld umgehen, dass Ihr immer einen Weg finden werdet, die <*Schatzkammer*> aufzufüllen.;Вы настолько ловко обращаетесь с гроссбухом, что недостаток <*денег*> вам точно не грозит.;Siete talmente abili nel gestire il denaro che troverete sempre il modo di rimpinguare il <*tesoro*>.;Suas habilidades financeiras são tão excelentes, que você sempre encontrará uma forma de restituir os <*cofres*>.
trap_super;The Trap;;Le piège;La Trampa;罠;함정;陷阱;陷阱;Die Falle;Ловушка;La trappola;A armadilha;You've hidden all the wildfire in the Seven Kingdoms under the ice at the Gods Eye. The lake is the largest trap ever made.;;Vous avez dissimulé tout le feu grégeois des Sept Couronnes sous la glace d'Œildieu. Le lac est devenu un gigantesque piège.;Has escondido todo el fuego valyrio existente en los Siete Reinos bajo el hielo de Ojo de Dioses. El lago es la mayor trampa jamás creada.;神の目湖の氷の下に、+七王国にあるすべての炎素を隠した。+この湖は途方もなく大きな罠となった。;당신은 칠왕국에 있는 모든 와일드파이어를 모아 신의 눈 호수의 얼음 아래 숨겨두었습니다. 이 호수는 지상 최대의 함정이 될 것입니다.;你将七王国所有的野火藏在了+神眼湖冰面下+湖变成了史上最大的陷阱;你將七王國所有的野火藏在了+神眼湖冰面下+湖變成了史上最大的陷阱;Ihr habt das gesamte Seefeuer der Sieben Königslande unter dem Eis am Götterauge versteckt. Der See ist die größte Falle aller Zeiten.;Весь дикий огонь в Семи Королевствах надежно спрятан подо льдом Божьего Ока. Озеро превратилось в одну огромную ловушку.;Avete nascosto tutto l'Altofuoco dei Sette Regni sotto il ghiaccio dell'Occhio degli Dei. Il lago è la più grande trappola mai realizzata.;Você escondeu todo fogo selvagem dos Sete Reinos sob o gelo do Olho de Deus. O lago agora é a maior armadilha de todos os tempos.
sansa_super;The North Remembers;;Le Nord se souvient;El Norte Recuerda;北部の義理;북부가 기억하리;北境永不遗忘;北境永不遺忘;Der Norden erinnert sich;Север помнит;Il Nord ricorda;O Norte se lembra;Your bannermen will support your claim to the throne, no matter the situation. You will not die because you lack <*power*>.;;Vos bannerets soutiendront votre règne, quelle que soit la situation. Vous ne pouvez pas mourir par manque de <*pouvoir*>.;Tus vasallos apoyarán tu derecho al trono, sin importarles la situación. No morirás porque carezcas de <*poder*>.;旗手たちは、+どのような状況に陥っても+あなたを支持するだろう。+<*権力*>不足によって死ななくなる。;당신의 기수는 어떤 상황이 오든 당신이 왕위를 주장하는 데 도움을 줄 것이며, <*권력*>이 부족해 죽는 일은 없을 것입니다.;你的封臣将为你赴汤蹈火，+支持你争夺王位+你不会因<*权力*>不足而灭亡;你的封臣將為你赴湯蹈火，+支持你爭奪王位+你不會因<*權力*>不足而滅亡;Eure Vasallen unterstützen Euren Anspruch auf den Thron, was auch passiert. Ihr werdet nicht sterben, weil es Euch an <*Macht*> fehlt.;Ваши верные сторонники поддержат вас, что бы ни случилось. Утрата <*власти*> больше вам не грозит.;Indipendentemente da tutto, i portabandiera appoggeranno la vostra ascesa al trono. Non morirete per mancanza di <*potere*>.;Suas Casas vassalas apoiarão sua reivindicação ao trono, seja qual for a situação. Você não morrerá por falta de <*poder*>.
one_super;One Kingdom;;Un royaume;Un Solo Reino;統一されし王国;하나의 왕국;一个帝国;一個帝國;Ein Königreich;Единое королевство;Un solo regno;Um reino;You have united all the Kingdoms of Westeros behind your rule, through cunning and leadership.;;Vous avez uni tous les royaumes de Westeros sous votre autorité, en ayant recours à votre charisme et votre malice.;Has unificado todos los reinos de Poniente bajo tu reinado, con ayuda de tu astucia y liderazgo.;ウェスタロス内の国をすべて+統治下に入れた。+知略と統率力の賜物だ。;당신은 웨스테로스의 모든 왕국을 간계와 지도력으로 복속시켰습니다.;在你统治下，+维斯特洛所有王国都统一了+手段当然是智谋和领导力了;在你統治下，+維斯特洛所有王國都統一了+手段當然是智謀和領導力了;Mit List und Führungsstärke habt Ihr alle Königslande von Westeros unter Eurer Herrschaft vereint.;Вы объединили Вестерос, в чем вам изрядно помогли стальная воля и гибкий разум.;Con astuzia e carisma avete unito i regni di Westeros sotto il vostro comando.;Você uniu todos os reinos de Westeros sob o seu comando graças à sua engenhosidade e capacidade de liderança.
