id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp;empty
num;st;;er;(ero*era);.;번째;第;第;.;-ый;°;(º*ª);
;nd;;e;(º*ª);.;번째;代王后;代王后;.;-ой;°;(º*ª);
;rd;;e;(ero*era);.;번째;;;.;-ий;°;(º*ª);
;th;;e;(º*ª);.;번째;;;.;-ый;°;(º*ª);
building;BUILDING THE WALL;;CONSTRUCTION DU MUR;CONSTRUYENDO EL MURO;壁を建設中;벽을 쌓는 중;正在搭建城墙;正在搭建城牆;DIE MAUER ERRICHTEN;СТРОИМ СТЕНУ;COSTRUZIONE DELLA BARRIERA;CONSTRUINDO A MURALHA;
updating;WRITING THE CARDS;;ÉCRITURE DES CARTES;ESCRIBIENDO LAS CARTAS;カードを執筆中;카드를 써나가는 중;正在书写牌面;正在書寫牌面;KARTEN BESCHREIBEN;ПРИДУМЫВАЕМ КАРТЫ;SCRITTURA DELLE CARTE;ESCREVENDO AS CARTAS;
antagonizing;WAKING UP THE DRAGON;;LE DRAGON SE RÉVEILLE;DESPERTANDO AL DRAGÓN;ドラゴンを覚醒中;드래곤을 깨우는 중;正在唤醒巨龙;正在喚醒巨龍;DEN DRACHEN WECKEN;БУДИМ ДРАКОНА;RISVEGLIO DEL DRAGO;DESPERTANDO O DRAGÃO;
slowly1;Take a breath!;;Prenez votre temps !;¡Toma aire!;落ち着け！;심호흡 하세요!;深呼吸！;深呼吸！;Immer mit der Ruhe!;Вдохните поглубже!;Respira!;Vá com calma!;
slowly2;Swipe sloooowly to see your answers and their consequences for Westeros.;;Balayez leeeeentement pour voir les réponses et leurs conséquences pour Westeros.;Desliza despaaaacio para ver las consecuencias para el Reino.;ゆっくりスワイプして答えを確認し、+ウェスタロスの行く末を定めよ。;당신이 내린 결정과 대답이 웨스테로스에 어떤 결과를 끼치는지 확인하려면 천천히 넘겨보세요.;慢慢地划动卡牌+来查看你的回答+会对维斯特洛造成的影响;慢慢地劃動卡牌+來查看你的回答+會對維斯特洛造成的影響;Wischt laaaangsam, um Eure Antworten und deren Folgen für Westeros zu sehen.;Мееееедленно проведите, чтобы увидеть влияние выбора на судьбу Вестероса.;Scorri leeentamente per vedere risposte e conseguenze per Westeros.;Deslize bem devagar para ver respostas e consequências em Westeros.;
action_reset;NEW GAME;;NOUVELLE PARTIE;NUEVO JUEGO;NEW GAME;새 게임;新游戏;新遊戲;NEUES SPIEL;НОВАЯ ИГРА;NUOVA PARTITA;NOVO JOGO;
action_next;NEXT;;SUIVANT;SIGUIENTE;NEXT;다음;继续;繼續;FORTFAHREN;ДАЛЬШЕ;AVANTI;AVANÇAR;
action_controller;PRESS;;APPUYER;PULSA;プッシュ;누르세요;长按;長按;DRÜCKEN;НАЖМИТЕ;PREMI;APERTE;
action_leap;CLAP!;;CLAP;¡APLAUDE!;手を叩け！;짝!;拍手！;拍手！;KLATSCHEN!;ХЛОП!;APPLAUDI!;APLAUDIR!;
action_mouse;NEXT;;SUIVANT;SIGUIENTE;NEXT;다음;继续;繼續;FORTFAHREN;ДАЛЬШЕ;AVANTI;AVANÇAR;
action_select;SELECT;;CHOISIR;SELECCIONAR;SELECT;선택;选择;選擇;WÄHLEN;ВЫБРАТЬ;SELEZIONA;SELECIONAR;
action_menu;MENU;;MENU;MENÚ;MENU;메뉴;菜单;菜單;MENÜ;МЕНЮ;MENU;MENU;
haptic;Vibrations;;Vibration;Vibraciones;振動;진동;震动;震動;Vibrationen;Вибрация;Vibrazioni;Vibrações;
time_in_power;moon in power|moons in power;;lune au pouvoir|lunes au pouvoir;luna en el poder|lunas en el poder;在位|月;통치한 달|통치한 달;在位月份|在位月份;在位月份|在位月份;Mond an der Macht|Monde an der Macht;лун(ы) на троне;luna al potere|lune al potere;lua no poder|luas no poder;
time;moon|moons;;lune|lunes;luna|lunas;月|月;달|달;月|月;月|月;Mond|Monde;лун(ы);luna|lune;lua|luas;
yes;Yes;;Oui;Sí;はい;예;(点头);(點頭);Ja;Хорошо;Sì;Sim;
no;No;;Non;No;いいえ;아니오;(摇头);(搖頭);Nein;Нет;No;Não;
ends;ends found;;fins découvertes;finales encontrados;発見した結末;발견한 엔딩;不同的死法;不同的死法;Enden entdeckt;концовок найдено;finali trovati;finais encontrados;
newcards;NEW CARDS;;NOUVELLES CARTES;NUEVAS CARTAS;新カード発見;새 카드;新卡牌！;新卡牌！;NEUE KARTEN;НОВЫЕ КАРТЫ;NUOVE CARTE;NOVAS CARTAS;
options;OPTIONS;;OPTIONS;OPCIONES;OPTIONS;옵션;选项;選項;OPTIONEN;НАСТРОЙКИ;OPZIONI;OPÇÕES;
action_back;BACK;;RETOUR;VOLVER;BACK;뒤로;返回;返回;ZURÜCK;НАЗАД;INDIETRO;VOLTAR;
