thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_money;yes_team;yes_market;yes_mind;yes_custom;override_no;answer_no;no_money;no_team;no_market;no_mind;no_custom
mind;mind_floor;700;工程师;turn>=3;del;80;我申请的零件八万，被驳回了。但车间在换地板，两百万。;地板先换;新地板铺完那天，您在车间站了很久。;-14;-10;;16;obsess_keep;批零件;地板的事没人再提。;-6;6;;-8;
mind;mind_cs;701;技术总监;turn>=5;del;75;团建打游戏。系统把您和两个直属下属分到了敌对阵营。;照打;您先把他们俩炸了，然后赢了全场。;;-8;;14;obsess_keep;放放水;他们赢得很客气，散场很早。;;4;;-7;
mind;mind_bet3y;702;财务总监;turn>=6;del;80;那个项目做了三年，还是零收入。今年还投两千万吗？;再投;没有人在会上说话。;-18;-6;;18;longbet_keep;停了;负责人当天下午就交了辞呈。;;-10;;-12;
mind;mind_firecustomer;703;销售总监;market>50 and turn>=7;del;75;那个客户又骂了我们的工程师。他占四成营收。;不做他了;工程师那天下班时跟您说了声谢谢。;;18;-22;20;obsess_keep;忍一下;工程师第二天请了病假。;;-12;5;-10;
mind;mind_refuse_deal;704;董事长;money>50 and turn>=9;del;70;有人出五倍价格。卖掉的话，团队每人能分两百万。;不卖;有六个人在那一周里递了辞呈。;;-16;;20;refuse_keep;卖;所有人都很高兴，除了您。;20;8;;-16;
mind;mind_noppt;705;董秘;turn>=4;del;70;您说过开会不许用 PPT。今天有个总监带了四十页。;当场停会;他讲了三句话就说完了重点，比四十页清楚。;;-8;;12;obsess_keep;让他讲;四十页讲了一小时四十分。;;;;-6;
mind;mind_interview_all;706;人事总监;team>45 and turn>=5;del;70;今年要招四百人。您还是要每一个都自己面吗？;都面;第三百个人问您累不累，您说不累。;;16;-12;14;obsess_keep;放权;有两个部门招了自己的人，您半年后才见到。;;-6;6;-8;
mind;mind_sleep_floor;707;;turn>=8;del;70;交付卡住了。您让人在车间搬了张床进来。;住下来;第五天，车间里多了七张床。;;20;;14;obsess_keep;回家睡;第二天早上您到得比所有人都早，但那不一样。;;-8;;-8;
mind;mind_ugly_feature;708;市场总监;market>48;del;70;客户最想要的那个功能，做出来一定卖。但您说它丑。;不做;竞争对手三个月后做了，卖得很好。;;6;-16;16;obsess_keep;做;上线当天数据很好。您没有打开看。;;-6;16;-12;
mind;mind_fake_flower;709;行政;turn>=4;del;60;您发现前台那盆花是塑料的。全换真的，每月八千。;全换;后来有人专门为了拍那盆花来面试。;-5;8;5;10;obsess_keep;算了;那盆花还在那儿。;;;;-5;
mind;mind_3am_mail;710;助理;turn>=6;del;65;您凌晨三点发的那封邮件，八个人回了，四个没回。;问没回的;其中一个说他在陪产。;;-12;;12;obsess_keep;算了;第二天凌晨三点，回复的人变成了十一个。;;-6;;-4;
mind;mind_font;711;设计总监;turn>=5;del;60;您坚持全公司只用一种字体。新来的设计说这不专业。;不改;他改了三版，最后一版用的还是那个字体。;;-6;;12;obsess_keep;让他改;新的确实好看。您每次看到都觉得不对。;;5;5;-8;
mind;mind_self_fix;712;客户;turn>=7;del;70;客户那边半夜出故障。工程师在路上，您也在路上。;自己先到;您到得比工程师早四十分钟，什么也没修好。;;10;12;14;obsess_keep;等工程师;他两点二十到，四点修好，没人知道您也起来了。;;;6;-6;
mind;mind_paint_office;713;行政;money>52;del;60;您想把整层墙刷成一个特定的灰。报价四十万，工期两周。;刷;那个灰在第三次调色时才对。;-12;-5;;14;obsess_keep;不刷;您每天进门都会看一眼那面墙。;;;;-6;
mind;mind_longbet_win;714;技术总监;longbet_keep and turn>=13;del;200;三年前那个项目，昨天有家客户一次性订了两年的量。;我知道;您说这句话的时候声音很平。;24;12;20;10;;运气好;负责人说不是运气。;18;16;16;-6;
mind;mind_longbet_dead;715;财务总监;longbet_keep and turn>=15;del;190;那个项目还是零收入。第四年了。;继续;这次有三个董事投了反对。;-20;;;16;deaf_keep;认了;设备当废铁卖了六十万。;6;-12;;-18;
mind;mind_deaf;716;;mind>84;del;180;有个下属说，您最近谁的话都听不进去。;他不懂;三个月后他去了对手那里，带走两个人。;;-14;;8;deaf_keep;想一想;您把上周三个决定重看了一遍，其中一个确实错了。;;8;;-14;
mind;mind_hollow;717;;mind<28;del;180;您今天批了十一份文件，没有一份是您想做的事。;照批;第十二份您签得比前十一份都快。;;;5;-10;hollow_keep;停一下;您在那份文件上坐了四十分钟，最后什么也没写。;;-5;-6;12;
mind;mind_become_manager;718;董事长;mind<22 and turn>=10;del;185;您最近的决定都很稳。稳到我们觉得，换个人也能做。;那就换;您说完之后，会议室安静了很久。;;;;16;quit_keep;我会调整;他点点头，在本子上记了一行。;;;;-12;
