name;en_title (max: 15 char.);tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;en_description (max: 35 char.);tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description;en_achievement (max: 25 char.);tu_achievement;fr_achievement;es_achievement;jp_achievement;ko_achievement;sc_achievement;tc_achievement;de_achievement;ru_achievement;it_achievement;bp_achievement
young;the Young;Genç;le Jeune;el Joven;若輩王;젊은 왕;少年王;少年王;der Junge;Молодой;il Giovane;o Jovem;Govern at least 5 years;En az 5 yıl hüküm sür;Rester au pouvoir au moins 5 ans;Mantenerse al menos 5 años en el poder;5年以上統治する;5년 이상 통치한다;在位至少5年;在位至少5年;Regiert mindestens 5 Jahre;Правьте не менее 5 лет;Governa per almeno 5 anni;Governe por pelo menos 5 anos;;;;;;;;;;;;
fortune;the Seer;Kahin;le Voyant;el Vidente;占術王;점술의 왕;先知王;先知王;der Seher;Видящий;il Veggente;o Vidente;See the future;Geleceği gör;Voir le futur;Ver el futuro;未来を予見する;미래를 예견한다;洞察未来;洞察未來;Seht die Zukunft;Увидеть будущее;Vedi il futuro;Veja o futuro;Crooked visions;Çarpık görüler;Visions corrompues;Visiones corruptas;いかがわしき啓示;이상한 계시;扭曲愿景;扭曲願景;Verdorbene Visionen;Искаженные видения;Visioni distorte;Visões distorcidas
stone;the Dazed;Sersem;le Sidéré;el Aturdido;幻覚王;환각의 왕;迷幻王;迷幻王;der Benommene;Ошеломленный;lo Stralunato;o Ébrio;Try the blue one;Mavi olanı dene;Essayer le bleu;Probar el azul;「青いほう」を食べてみる;"푸른 버섯"을 먹어 본다;试试蓝色;試試藍色;Probiert den Blauen;Попробовать синий;Prova quello blu;Prove o azul;;;;;;;;;;;;
spy;the Wicked;Habis;le Madré;el Raro;横道王;사악한 왕;阴暗王;陰暗王;der Gerissene;Безнравственный;il Malvagio;o Perverso;Recruit the spy;Casusu işe al;Recruter l'espion;Contratar al espía;密偵を雇う;밀정을 고용한다;招募密探;招募密探;Rekrutiert den Spion;Призвать на службу шпиона;Ingaggia la spia;Recrute o espião;Insane whispers;Delice fısıltılar;Chuchotements insensés;Susurros dementes;怪しき密告者;광인 밀고자;疯狂告密者;瘋狂告密者;Wirres Geflüster;Безумный шепот;Sussurri insensati;Sussurros insanos
lover;the Lover;Sevdalı;le Volage;el Amante;多恋王;연애의 왕;风流王;風流王;der Liebhaber;Любовник;l'Amante;o Amante;Start a romance;Aşk yaşa;Avoir une liaison;Tener un romance;逢い引きをする;연애를 시작한다;开始一段恋情;開始一段戀情;Beginnt eine Romanze;Завести роман;Inizia una relazione amorosa;Comece um romance;;;;;;;;;;;;
blessed;the Blessed;Kutsanmış;le Béni;el Bendito;啓示王;계시의 왕;天佑王;天佑王;der Gesegnete;Благословенный;il Benedetto;o Abençoado;Meet the clumsy prophet;Sakar peygamberle tanış;Rencontrer le prophète maladroit;Conocer al poeta torpón;「どじの預言者」の謁見を許す;"얼간이 예언자"의 알현을 허락한다;遇到拙劣先知;遇到拙劣先知;Trefft den tollpatschigen Propheten;Встретить неуклюжего пророка;Incontra il profeta goffo;Encontre o profeta desastrado;Awkward miracles;Tuhaf mucizeler;Miracles malencontreux;Milagros bizarros;不体裁な奇跡;괴상한 기적;拙劣奇迹;拙劣奇跡;Merkwürdige Wunder;Странные чудеса;Miracoli bizzarri;Milagres estranhos
millenium;the Pivot;Kılavuz;le Pivot;el Milenario;千年王;천년의 왕;半途王;半途王;der Wegweiser;Точка опоры;il Perno;o Pivô;Pass the first millenium;İlk milenyumu atlat;Passer le premier millénaire;Pasar el primer milenio;王朝誕生から1000年目を迎える;왕조 탄생 1000년을 맞이한다;度过第一个千年;度過第一個千年;Übersteht das erste Jahrtausend;Пройти рубеж первого тысячелетия;Supera il primo millennio;Avance o primeiro milênio;Millennial frenzy;Bin yıllık çılgınık;Folies millénaires;Locuras milenarias;千年祭;천년축제;千年狂热;千年狂熱;Millenniums-Manie;Тысячелетнее безумие;Follia del millennio;Frenesi do milênio
conspiracy;the Target;Hedef Alınmış;la Cible;el Blanco;標的王;표적의 왕;目标王;目標王;das Ziel;Мишень;il Bersaglio;o Alvo;Hear about the conspiracy;Komployu öğren;Entendre parler de la conspiration;Enterarse de una conspiración;暗殺計画の存在を知る;암살계획의 존재를 알아낸다;得知大阴谋;得知大陰謀;Hört von der Verschwörung;Узнать о заговоре;Senti parlare della cospirazione;Descubra a conspiração;Shrewd scheming;Kurnaz kumpaslar;Nébuleuses intrigues;Intrigas astutas;深謀遠慮;심모원려;机关算尽;機關算盡;Raffinierte Ränke;Практичное планирование;Intrighi scaltri;Planos obscuros
farmerwolf;the Tender;Çöpçatan;le Tendre;el Tierno;獣使王;주례의 왕;关爱王;關愛王;der Zärtliche;Чуткий;il Tenero;o Suave;Arrange a bestial honeymoon;Kurtlara balayı ayarla;Organiser une lune de miel animale;Organizar una luna de miel animal;獣同士の婚姻を認める;짐승끼리의 혼인을 인정한다;安排一对兽人的蜜月;安排一對獸人的蜜月;Arrangiert tierische Flitterwochen;Устроить звериный медовый месяц;Organizza luna di miele bestiale;Arranje uma lua de mel bestial;;;;;;;;;;;;
senator;the Doomed;Lanetli;le Maudit;el Maldito;破滅王;파멸의 왕;要完王;要完王;der Verfluchte;Осужденный;il Condannato;o Condenado;Unmask the Senator;Senatörün gerçek yüzünü gör;Démasquer le Sénateur;Desenmascarar al senador;元老院議員の正体を暴く;원로원 의원의 정체를 폭로한다;揭开议员的真面目;揭開議員的真面目;Entlarvt den Senator;Раскрыть личность Сенатора;Smaschera il Senatore;Desmascare o Senador;;;;;;;;;;;;
