id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp
kings;KINGS;KRALLAR;ROIS;REYES;KINGS;왕;国王;國王;KÔNIGE;КОРОЛИ;RE;REIS
queens;QUEENS;KRALİÇELER;REINES;REINAS;QUEENS;여왕;王后;王后;KÔNIGINNEN;КОРОЛЕВЫ;REGINE;RAINHAS
yellow;YELLOW;SARI;JAUNE;AMARILLO;黄;노랑;黄色;黃色;GELB;ЖЕЛТЫЙ;GIALLO;AMARELO
blue;BLUE;MAVİ;BLEU;AZUL;青;푸른;蓝色;藍色;藍色;СИНИЙ;BLU;AZUL
action_confirm;CONFIRM;ONAYLA;CONFIRMER;CONFIRMAR;決定;결정;确认;確認;BESTÂTIGEN;ПОДТВЕРДИТЬ;CONFERMA;CONFIRMAR
action_returnmenu;Return to main menu;Ana menüye dön;Retour au menu principal;Volver al menú principal;メインメニューへ戻る;메인 메뉴로 돌아간다;回到主菜单;回到主菜單;Zurück ins Hauptmenü;В главное меню;Torna al menu principale;Voltar ao menu principal
action_controllers;Configure controllers;Kumandaları yapılandır;Configuration manettes;Configurar mandos;コントローラーの設定;컨트롤러 설정;设置手柄;設定手柄;Controller konfigurieren;Настройка управления;Configura controller;Configurar controles
action_effects;EFFECTS;ETKİLER;EFFETS;EFECTOS;効果;이펙트;效果;效果;EFFEKTE;ЭФФЕКТЫ;EFFETTI;EFEITOS
action_one;ONE PLAYER MODE;TEK OYUNCU MODU;MODE 1 JOUEUR;MODO 1 JUGADOR;1 PLAYER MODE;1인 모드;单人模式;單人模式;1 SPIELER;ОДИНОЧНЫЙ РЕЖИМ;MODALITÀ A UN GIOCATORE;UM JOGADOR
action_two;TWO PLAYER MODE;İKİ OYUNCU MODU;MODE 2 JOUEURS;MODO 2 JUGADORES;2 PLAYER MODE;2인 모드;双人模式;雙人模式;2 SPIELER;ДВА ИГРОКА;MODALITÀ A DUE GIOCATORI;DOIS JOGADORES
action_main;MAIN MENU;ANA MENÜ;MENU PRINCIPAL;;メインメニュー;메인 메뉴;主菜单;主菜單;HAUPTMENÛ;ГЛАВНОЕ МЕНЮ;MENU PRINCIPALE;MENU PRINCIPAL
demo_text;This version of Reigns has been created specifically for demonstration purposes. The game will reset after 30 seconds without interaction.;Reigns'ın bu sürümü, özellikle gösteri amacıyla oluşturuldu. Oyun, etkileşim olmadan 30 saniye sonra sıfırlanır.;Cette version de Reigns a été créée spécifiquement à des fins de démonstration. Le jeu se réinitialise après 30 secondes sans interaction.;Esta versión de Reigns ha sido creada específicamente para propósitos de demostración. El juego se reiniciará después de 30 segundos sin interacción.;Reignsのこのバージョンは、デモンストレーション用に特別に作成されました。30秒後に対話なしにゲームがリセットされます。;Reigns의이 버전은 데모 용으로 특별히 제작되었습니다. 상호 작용없이 30 초 후에 게임이 재설정됩니다.;这个版本的版本是专门用于演示的。 游戏将在30秒后重置，无需互动。;這個版本的版本是專門用於演示的。遊戲將在30秒後重新啟動，無需互動。;Diese Version von Reigns wurde speziell für Demonstrationszwecke erstellt. Das Spiel wird nach 30 Sekunden ohne Interaktion zurückgesetzt.;Эта версия Reigns была создана специально для демонстрационных целей. Игра будет сброшена через 30 секунд без взаимодействия.;Questa versione di Reigns è stata creata appositamente per scopi dimostrativi. Il gioco si ripristina dopo 30 secondi senza interazione.;Esta versão do Reigns foi criada especificamente para fins de demonstração. O jogo será reiniciado após 30 segundos sem interação.
subtitle;Swipe and be the King;Kaydır, Kral sen ol;Prenez des décisions royales;;;;;;;;;
update;Sticker included!;;;;;;;;;;;
num;st;.;er;er;第;대 국왕;第;第;.;-й;°;°
;nd;.;e;°;代国王;대 국왕;代国王;代國王;.;-й;°;°
;rd;.;e;er;;대 국왕;;;.;-й;°;°
;th;.;e;°;;대 국왕;;;.;-й;°;°
building;BUILDING THE CASTLE;KALE İNŞA EDİLİYOR;CONSTRUCTION DU CHÂTEAU;CONSTRUYENDO EL CASTILLO;城を建設中;성 건설 중;建造城堡中;建造城堡中;BURG ERRICHTEN;СТРОИМ ЗАМОК;COSTRUZIONE DEL CASTELLO;CONSTRUINDO O CASTELO
antagonizing;ANTAGONIZING THE DEVIL;ŞEYTAN KIŞKIRTILIYOR;INVOCATION DU DIABLE;INVOCANDO AL DIABLO;悪魔と敵対中;악마와 적대 중;挑衅恶魔中;挑釁惡魔中;TEUFEL VERÄRGERN;БОРЕМСЯ С ДЬЯВОЛОМ;SCONTRO CON IL DEMONIO;COMBATENDO O DEMÔNIO
updating;WRITING THE CARDS;KARTLAR YAZILIYOR;ÉCRITURE DES CARTES;ESCRIBIENDO CARTAS;カードを執筆中;카드 작성 중;撰写卡牌中;撰寫卡牌中;KARTEN BESCHREIBEN;ПИШЕМ КАРТЫ;SCRITTURA DELLE CARTE;ESCREVENDO AS CARTAS
nomemory;Fading memory of another dimension;Bir başka diyarın sönmekte olan anıları;Souvenir perdu d'une autre dimension;Recuerdo perdido de otra vida;別の次元の遠い記憶;다른 차원의 불확실한 기억;正在遗忘+来自其他时空的记忆;正在遺忘+來自其他時空的記憶;Die verblassende Erinnerung an eine andere Dimension;Исчезающие воспоминания о другом измерении;Ricordo sbiadito di un'altra dimensione;Lembrança efêmera de outra dimensão
slowly1;Take a breath!;Derin nefes al!;Respirez !;¡Respira!;落ち着いて！;진정하십시오!;深呼吸！;深呼吸！;Immer mit der Ruhe!;Вдохните!;Respira!;Respire!
slowly2;Swipe sloooowly to see your answers and their consequences for the Kingdom.;Cevaplarını ve cevaplarının Krallığın için sonuçlarını görmek için yavaaaşça kaydır.;Balayez leeeeentement pour voir les réponses et leurs conséquences sur le royaume.;Desliza leeeentamente para ver las respuestas y sus consecuencias en el reino.;ゆ～～っくりスワイプして答えを確認し、+王国の行く末を定めよ。;천~~~천히 좌우로 움직여 대답을 확인하고 왕국의 운명을 결정하십시오.;慢悠悠悠地划动卡牌+来查看你的回答+会对王国造成什么样的影响。;慢悠悠悠地劃動卡牌+來查看你的回答+會對王國造成什麼樣的影響。;Wischt laaaangsam, um Eure Antworten und deren Folgen für das Königreich zu sehen.;Ме-е-е-едленно смахните, чтобы увидеть ответы и их влияние на королевство.;Fai scorrere leeentamente per vedere le tue risposte e le loro conseguenze per il Regno.;Deslize beeeem devagar para ver as respostas e suas respectivas consequências no reino.
action_reset;NEW GAME;YENİ OYUN;RECOMMENCER;NUEVA PARTIDA;NEW GAME;새 게임;新游戏;新遊戲;NEUES SPIEL;НОВАЯ ИГРА;NUOVA PARTITA;NOVO JOGO
action_next;NEXT;SIRADAKİ;CONTINUER;CONTINUAR;NEXT;다음;继续;繼續;FORTFAHREN;ДАЛЕЕ;AVANTI;AVANÇAR
action_controller;PRESS;BAS;APPUYER;PULSAR;をプッシュ;누르기;长按;長按;DRÜCKEN;НАЖМИТЕ;PREMI;APERTE
action_leap;CLAP!;ALKIŞLA!;APPLAUDIR !;¡APLAUDIR!;手をたたけ！;박수!;拍手！;拍手！;APPLAUS!;ХЛОПНИТЕ!;APPLAUDI!;APLAUDIR!
action_mouse;NEXT;SIRADAKİ;CONTINUER;SIGUIENTE;NEXT;다음;继续;繼續;FORTFAHREN;ДАЛЕЕ;AVANTI;AVANÇAR
action_select;SELECT;SEÇ;CHOISIR;ELEGIR;SELECT;선택;选择;選擇;WÄHLEN;ВЫБРАТЬ;SELEZIONA;SELEC.
action_menu;MENU;MENÜ;MENU;MENÚ;MENU;메뉴;菜单;菜單;MENÜ;МЕНЮ;MENU;MENU
the;The; ;Le;El;; ; ;;Der; ;Il;O
king;King;Kral;Roi;Rey;;왕;国王;國王;König;Король;Re;Rei
isdead;is dead;öldü;est mort;ha muerto;現王が逝去！;께서 승하하셨습니다!;已死;已死;ist tot;умер;è morto;está morto
isgone;is gone;kayıp;est parti;se ha ido;現王が逝去！;께서 서거하셨습니다!;已死;已死;ist fort;скончался;se n'è andato;se foi
longlive;Long live the;Çok yaşa yeni;Vive le;Viva el;新王が即位！;께서 즉위하셨습니다!;万岁;萬歲;Lang lebe der;Слава;Viva il;Vida longa ao
yearsold;years old;yaşında;ans;años;歳;세;岁;歲;Jahre alt;год|года|лет;anni;anos de idade
yourcourt;Your court;Sarayınız sizi;Votre cour;¡Vuestra corte;おかえり;왕좌에 오르소서,;您的臣下;您的臣下;Euer Hof erwartet;Ваш двор;La vostra corte;A corte está à
awaits;awaits!;bekliyor!;attend !;espera!;なさいませ、陛下！;폐하!;谨遵御旨！;謹遵禦旨！;Euch!;ожидает!;attende!;espera!
yes;Yes;Evet;Oui;Sí;<i>（はい）</i>;예;<i>（点头）</i>;<i>（點頭）</i>;Ja;Да;Sì;Sim
no;No;Hayır;Non;No;<i>（いいえ）</i>;아니요;<i>（摇头）</i>;<i>（搖頭）</i>;Nein;Нет;No;Não
games;King in the dynasty;Hanedan Kralı;Roi de la dynastie;Rey de la dinastía;王朝第|代国王;왕국 국왕;任国王;任國王;König der Dynastie;Король из династии;Re della dinastia;Rei da dinastia
ends;ends found;son bulundu;fins trouvées;fin encontrado;:発見したエンディング;엔딩 수;不同的死法;不同的死法;Enden entdeckt;— найдено концовок;finali trovati;finais encontrados
newcards;NEW CARDS!;YENİ KARTLAR!;NOUVELLES CARTES !;¡CARTAS NUEVAS!;新カード発見！;새 카드 발견!;新卡牌！;新卡牌！;NEUE KARTEN!;НОВЫЕ КАРТЫ!;NUOVE CARTE!;NOVAS CARTAS!
options;OPTIONS;SEÇENEKLER;OPTIONS;OPCIONES;OPTION;옵션;选项;選項;OPTIONEN;НАСТРОЙКИ;OPZIONI;OPÇÕES
action_back;BACK;GERİ;RETOUR;ATRÁS;BACK;뒤로;返回;返回;ZURÜCK;НАЗАД;INDIETRO;VOLTAR
sfx_volume;SFX Volume;Ses Efektleri;Volume sons;Volumen sonido;SE音量;효과음;音效音量;音效音量;Lautstärke Effekte;Громкость звуков;Volume effetti;Volume de sons
togglevo;Voice-over characters;Karakter seslendirmesi;Voix personnages;Voz personajes;キャラクターボイス;캐릭터 음성;角色语音;角色語音;Vertonte Charaktere;Голоса персонажей;Voce personaggi;Personagens dublados
music_volume;Music Volume;Müzik;Volume musique;Volumen música;BGM音量;배경음;音乐音量;音樂音量;Lautstärke Musik;Громкость музыки;Volume musica;Volume de música
language;Language;Dil;Langue;Idioma;言語;언어;语言;語言;Sprache;Язык;Lingua;Idioma
resolution;Screen resolution;Ekran çözünürlüğü;Résolution écran;Resolución pantalla;画面解像度;화면 해상도;分辨率;解析度;Bildschirmauflösung;Разрешение экрана;Risoluzione schermo;Resolução de tela
togglewin;Full screen;Tam ekran;Plein écran;Pantalla completa;フルスクリーン;전체화면;全屏;全屏;Vollbild;Полный экран;Schermo intero;Tela cheia
apply;APPLY;UYGULA;APPLIQUER;APLICAR;適用;적용;应用;應用;ANWENDEN;ПРИНЯТЬ;APPLICA;APLICAR
link1;MORE REIGNS! MORE LOVE!;DAHA FAZLA REIGNS! DAHA FAZLA SEVGİ!;PLUS DE REIGNS ! ET D'AMOUR !;¡MÁS REIGNS! ¡Y MÁS AMOR!;「REIGNS」WEBサイトへ;"REIGNS" 웹사이트 방문;REIGNS 官网信息;REIGNS 官網資訊;MEHR REIGNS! MEHR LIEBE!;БОЛЬШЕ ПРАВЛЕНИЯ!;PIÙ REGNI! PIÙ AMORE!;MAIS REIGNS! MAIS AMOR!
start;START;BAŞLA;START;EMPEZAR;START;시작;开始;開始;START;НАЧАТЬ;INIZIA;INICIAR
