tag;type;title;tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;description;tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description
;;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.
clearperfume;perfume;Royal Perfume;Kraliyet Parfümü;Parfum Royal;Perfume Real;王家の香水;왕국 향수;皇家香水;皇家香水;Königliches Parfüm;Королевские духи;Profumo reale;Perfume real;The charming scent of royalty. May win some people's hearts.;Kraliyet ailesinin etkileyici kokusu. Bazı insanların gönlünü kazanabilir.;Les effluves enchanteurs de la royauté. Peut gagner les faveurs de certains sujets.;La encantadora fragancia de la realeza. Seguro que conquista más de un corazón.;人によっては心が奪われる、+魅惑的な王族の香り。;매력적인 왕국의 향수입니다. 특정인을 매혹시킵니다.;皇家迷人香氛让你化身万人迷;皇家迷人香氛讓你化身萬人迷;Der charmante Duft des Herrscherhauses. Kann die Herzen mancher Leute erobern.;Чарующий аромат королевской власти. Помогает покорять сердца.;L'affascinante profumo della regalità. Potrebbe conquistare qualche cuore.;O odor fascinante da realeza. Poderá conquistar os corações de algumas pessoas.
dataresults;perfume;Your Results;Senin Sonuçların;Votre profil;Tus resultados;分析結果;나의 결과;分析结果;分析結果;Euer Ergebnis;Ваши результаты;Risultati;Seus resultados;A constellation of metadata about you is stored here.;Senin hakkında metaveri grubu burada saklanır.;Une constellation de métadonnées vous concernant est enregistrée ici.;Una constelación de metadatos acerca de ti está almacenada aquí.;ユーザーの全メタデータが+保管されている。;당신에 대한 별자리 메타데이터가 이곳에 저장되어 있습니다.;你的一切+尽在此瓶;你的一切+盡在此瓶;Hier ist eine Fülle von Metadaten über Euch gespeichert.;Вся совокупность метаданных о вас хранится здесь.;Qui è memorizzata una costellazione di metadati su di voi.;Aqui você pode encontrar uma constelação de metadados sobre você.
pistol;weapon;Duel Pistol;Düello Tabancası;Pistolet de Duel;Pistola de Duelo;決闘銃;결투용 권총;决斗手枪;決鬥手槍;Duellpistole;Дуэльный пистолет;Pistola da duello;Pistola de duelo;A jewel-studded ceremonial pistol, made for launching poetic duels.;Mücevherle süslenmiş bir tören tabancası, şairene düellolar için yapılmış.;Un pistolet de cérémonie incrusté de pierres précieuses, conçu pour les duels poétiques.;Un empuñadura ceremonial salpicada de joyas, diseñada para lanzar duelos poéticos.;宝石を散りばめた、+祭儀用のピストル。+詩吟対決に用いる。;보석으로 장식된 의식용 권총. 결투를 위해 만들어졌습니다.;镶满珠宝，庆典专用+专为诗意的决斗而设计;鑲滿珠寶，慶典專用+專為詩意的決斗而設計;Eine edelsteinbesetzte Pistole für Zeremonien und poetische Duelle.;Церемониальный пистолет, инкрустированный самоцветами. Предназначен для участия в поэтических дуэлях.;Una pistola cerimoniale ingioiellata, creata per lanciare duelli di poesia.;Uma pistola cerimonial cravejada de joias, feita para duelos poéticos.
flintlock;weapon;Lethal Pistol;Ölümcül Tabanca;Pistolet mortel;Pistola Letal;本物の銃;강력한 권총;致命手枪;致命手槍;Tödliche Pistole;Смертоносный пистолет;Pistola letale;Pistola letal;A river pirate has traded your ornamental pistol for a serious flintlock.;Bir nehir korsanı dekoratif tabancanı, ciddi bir çakmaklı tabancayla takas etti.;Une pirate fluviale vous a échangé ce sublime pistolet contre votre pistolet de cérémonie.;Una pirata fluvial te ha trocado una pistola ornamental por un señor fusil de chispa.;川の海賊が決闘銃と交換した、+本物のフリントロック銃。;강의 해적이 당신의 장식용 권총을 위험한 화약총으로 바꾸어 주었습니다.;一名河盗用这把燧发枪+换走了你的装饰手枪;一名河盜用這把燧發槍+換走了你的裝飾手槍;Eine Flusspiratin hat Eure Zierpistole gegen eine ernst zu nehmende Steinschlosswaffe eingetauscht.;В обмен на ваш разукрашенный пистолет речная пиратка дала вам настоящее кремневое оружие.;Una piratessa fluviale ha scambiato la vostra pistola ornamentale con una vera.;Uma pirata fluvial trocou a sua pistola ornamental por uma pistola de pederneira potente.
squirtgun;weapon;Gun Emoji;Silah Emojisi;Émoji de pistolet;Pistola Emoji;水鉄砲;총 이모티콘;手枪表情;手槍表情;Pistolen-Emoji;Эмодзи «Пистолет»;Pistola emoji;Emoji de arma;It's not a real gun, but some courts have ruled that gun emojis still constitute threats.;Gerçek bir silah değil, ama bazı saraylar silah emojilerinin de tehdit olduğuna karar verdi.;C'est une arme factice, mais certains tribunaux considèrent que cet émoji constitue quand même une menace.;No es una pistola de verdad pero algunos reinos han decretado que las pistolas de emojis se consideren aún como peligrosas.;一部の法廷では武器と認定された、+おもちゃの銃。;진짜 총은 아니지만, 몇몇 판사들은 이 총 이모티콘이 위험하다는 판결을 내렸습니다.;这不是什么真家伙+但是法庭还是规定手枪表情也算某种威胁;這不是什麼真傢伙+但是法庭還是規定手槍表情也算某種威脅;Es ist keine echte Waffe, aber einige Gerichte haben geurteilt, dass Pistolen-Emojis trotzdem eine Gefahr darstellen.;Это не настоящее оружие. Но некоторые суды постановили, что эмодзи в виде оружия также могут представлять угрозу.;Non è una pistola vera, ma in alcune corti è considerata pericolosa.;Não é uma arma de verdade, mas algumas cortes decretaram que os emojis de armas representam uma ameaça.
clock;mechanical;Strange Clock;Tuhaf Saat;Étrange Pendule;Reloj Bizarro;奇妙な時計;이상한 시계;奇怪的钟;奇怪的鐘;Seltsame Uhr;Странные часы;Orologio strano;Relógio estranho;A beautiful embellished clock with intricate parts designed in a Western pattern. It's in need of restoration.;Karmaşık kısımları Batı deseniyle tasarlanmış, güzel bir süslü saat. Restore edilmesi gerek.;Une magnifique pendule ornementée faite de mécanismes complexes typiques de l'artisanat de l'Ouest. Elle a besoin d'être restaurée.;Un bello reloj con intrincadas partes y diseño occidental. Necesita restauración.;精緻なパーツで美しく飾られた、+西方の時計。修復が必要。;복잡한 부분은 서양식으로 만들어진 아름답게 장식된 시계. 수리가 필요합니다.;精巧繁复的一款钟表+极具西方审美气质+不过需要修一修;精巧繁複的一款鐘錶+極具西方審美氣質+不過需要修一修;Eine schöne, verzierte Uhr mit komplizierten Teilen nach westlicher Art. Sie muss restauriert werden.;Искусно украшенные часы тонкой работы в западном стиле. Требуют ремонта.;Un bellissimo orologio dai componenti intricati, così come si usa fare nell'Ovest. Ha bisogno di un bel restauro.;Um belo relógio ornamentado com peças complexas e fabricado com um padrão Ocidental. Precisa ser restaurado.
advancedclock;mechanical;Destiny Clock;Kader Saati;Pendule du Destin;Reloj del Destino;運命の時計;운명의 시계;命运之钟;命運之鐘;Schicksalsuhr;Часы судьбы;Orologio del destino;Relógio do destino;A beautiful embellished clock. Turning its gears in the right location can allow you to change your astrological destiny...;Güzel bir süslü saat. Çarklarını doğru yere çevirmek, astrolojik kaderini değiştirmene izin verebilir...;Une magnifique pendule ornementée. Faire tourner ses mécanismes au bon endroit peut modifier le destin que les astres vous réservent.;Un bello reloj adornado. Girar su mecanismo en la dirección correcta te puede permitir cambiar tu destino astrológico.;美しく飾られた時計。+歯車を正しい位置へ回せば、+星の運命を変えられる…;아름답게 장식된 시계. 기어를 알맞게 돌리면 운명을 바꿀 수 있습니다…;样式精美的钟表+转动正确的齿轮+你就能改变自己的命运…;樣式精美的鐘錶+轉動正確的齒輪+你就能改變自己的命運…;Eine schöne, verzierte Uhr. Werden die Zahnräder an die richtige Stelle gedreht, könnt Ihr Eure astrologische Bestimmung ändern ...;Искусно украшенные часы. Заведя их в подходящем для этого месте, вы сможете изменить судьбу, предначертанную вам звездами.;Un bellissimo orologio impreziosito da dettagli. Se si sposta il meccanismo nel modo giusto, può cambiare il vostro destino astrologico...;Um belo relógio ornamentado. Se você girar as engrenagens no local certo, poderá mudar o seu destino astrológico…
creditcard;mechanical;Destiny Card;Kader Kartı;Carte du Destin;Carta del Destino;運命のカード;운명의 카드;命运信用卡;命運信用卡;Schicksalskarte;Карта судьбы;Carta del destino;Carta do destino;This magic card can enrich the present at the expense of the future.;Bu sihirli kart, gelecek pahasına şimdiyi zenginleştirebilir.;Cette carte magique peut enrichir le présent au détriment de l'avenir.;Esta tarjeta mágica puede mejorar tu presente, a costa de tu futuro.;未来を犠牲にして今を豊かにする、+魔法のカード。;이 마법 카드는 미래를 대가로 현재에 복을 불러옵니다.;这张魔法信用卡能透支将来+加强当下;這張魔法信用卡能透支將來+加強當下;Diese magische Karte kann die Gegenwart auf Kosten der Zukunft bereichern.;Эта волшебная карта может раскрасить ваше настоящее за счет будущего.;Questa carta magica può arricchire il vostro presente, ma sarà il futuro a farne le spese.;Esta carta mágica poderá enriquecer o presente às custas do futuro.
chickenbone;relic;Chicken Bone;Tavuk Kemiği;Os de poulet;Hueso de Pollo;ニワトリの骨;닭 뼈;鸡骨头;雞骨頭;Hühnerknochen;Куриная кость;Osso di pollo;Osso de galinha;It looks like it's the leg bone of a small chicken. It's a little crooked.;Küçük bir tavuğun bacak kemiği gibi görünüyor. Biraz eğri.;On dirait l'os de la cuisse d'un petit poulet. Il est un peu tordu.;Parece el huesecillo de una pequeña pata de pollo. Está un poco retorcido.;ちょっぴり曲がった、+小さなニワトリの脚の骨。;작은 닭의 왼쪽 다리뼈처럼 보입니다. 약간 굽었습니다.;看着像是一只小鸡的鸡腿骨，有点弯;看著像是一隻小雞的雞腿骨，有點彎;Das scheint der Beinknochen eines kleinen Huhns zu sein. Er ist leicht gebogen.;Похоже, это — кость ноги цыпленка. Она немного изогнута.;Sembra sia l'osso della zampa di un piccolo pollo. Probabile che il pennuto fosse zoppo.;Parece ser o osso da pata de um frango. Está um pouco torto.
