id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp
allcards2;Completionist;Tamamlayıcı;Insatiable;Terminador;コンプ命;완벽주의자;完美主义者;完美主義者;Vervollständigung;К цели — любой ценой;Concludente;Perfeccionista
allcards2_descript;Read 95% of the cards;Kartların %95'ini oku;Lire 95 % des cartes;Leer el 95% de las cartas;95%のカードを読む;모든 카드 중 95%를 읽는다;读过95%的卡片;讀過95%的卡片;Lest 95% der Karten;Прочесть 95 % карт;Leggi il 95% delle carte;Leia 95% das cartas
romantic;Indefatigable;Yorulmak Bilmez;Infatigable;Infatigable;色情女王;정력가;不知疲倦;不知疲倦;Unermüdlichkeit;Неутомимая;Instancabile;Incansável
romantic_descript;Have 4 affairs at the same time;Aynı anda 4 ilişkin olsun;Avoir 4 liaisons amoureuses en même temps;Tener 4 amantes al mismo tiempo;同時に4人と不倫する;동시에 4명을 애인으로 둔다;同时脚踏四只船;同時腳踏四隻船;Habt 4 Affären gleichzeitig;Одновременно крутить 4 романа;Intrattieni 4 relazioni insieme;Tenha 4 casos amorosos ao mesmo tempo
collector;Collector;Koleksiyoncu;Obsessionnel;Coleccionista;コレクター;수집가;收藏家;收藏家;Sammelleidenschaft;Моя коллекция;Collezionista;Colecionadora
collector_descript;Upgrade all the items to their final state;Tüm eşyaları son hallerine yükselt;Améliorer tous les objets au maximum;Actualizar todos los artículos a su estado final;全アイテムを上限まで強化する;모든 아이템을 마지막 단계까지 향상시킨다;将所有物品升到最高级;將所有物品升到最高級;Wertet alle Gegenstände auf die letzte Stufe auf;Улучшить все предметы до последней стадии;Potenzia tutti gli oggetti allo stato finale;Aprimore todos os itens até seu estado final
_final_normal;The End n°1;1. Son;Fin n°1;Final n°1;第一の終幕;엔딩 No.1;结局1;結局1;Erstes Ende;Концовка №1;La fine n°1;O final nº 1
_final_normal_descript;Achieve empowerment;Güçlendirmeye Ulaş;Victoire et marketing;Conseguir poder;エンパワーメントを達成する;왕위 이양;赢得权力;贏得權力;Erlangt Eure Rechte;Достичь расширения своих возможностей;Ottieni il conferimento dei poteri;Conquiste o empoderamento
_final_missed;The End n°2;2. Son;Fin n°2;Final n°2;第二の終幕;엔딩 No.2;结局2;結局2;Zweites Ende;Концовка №2;La fine n°2;O final nº 2
_final_missed_descript;Program failure;Program arızası;Erreur programe;Programar la quiebra;プログラムに負ける;프로그램 실패;计划失败;計劃失敗;Programmfehler;Сбой программы;Fallimento del programma;Falha no programa
