name;id;bearer;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
;;;Max 120 char.;Max 120 char.;Max 120 char.;;Max 120 char.;Max 120 char.;Max 120 char.;Max 120 char.;Max 120 char.;Max 120 char.;Max 120 char.;Max 120 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;Max 140 char.;
_duel_won;345;owl;You fired at the perfect time! Your win shall be told in a future rhyme!;Mükemmel anda ateş ettin! Galibiyetin gelecekte şiirlerde anlatılacak!;Vous avez tiré juste au bon moment ! Les ménestrels chanteront vos exploits !;¡Disparaste en el momento justo! Tu victoria ha ser contada y cantada en el futuro.;完ぺきなタイミングで撃ったホー！+この勝利は詩となって、+後世へ語り継がれるホー！;정확한 때에 발사했군요! 이 승리는 미래에 노래로 남을 거예요!;扳机扣得刚好！+你的胜利会美名长传！;扳機扣得剛好！+你的勝利會美名長傳！;Genau zur rechten Zeit kam Euer Schuss! In Reimen Euer Sieg gewürdigt werden muss!;Вы точно в срок разите цель! Да воспоет вас менестрель!;Avete sparato al momento giusto! Le vostre gesta verranno narrate da un gran bellimbusto!;Você disparou na hora adequada! A sua vitória será para sempre lembrada!;Yessss!;Evvvvet!;Merci !;¡Sííí!;やったあ！;좋아아아!;太棒了！;太棒了！;Jawoll!;Дааа!;Evvai!;Isssso!;;;;;;;;;;;;;It was nothing;Hiç bir şeydi;C'était facile !;No ha sido nada;騒ぎすぎ;이정도는 아무것도 아니다;小菜一碟;小菜一碟;Nicht der Rede wert;Да ладно, пустяки.;Niente di che...;Não foi nada;;;;;;;;;;;;;
_duel_die;346;owl>super;Alas, you fired your arm too slow! Your enemy wins with a well-timed blow!;Yazık, silahını çok yavaş ateşledin! Rakibin iyi zamanlanmış bir darbeyle kazanıyor!;Hélas ! Vous avez tiré trop lentement ! Votre adversaire vous a précédé et l'emporte !;¡Alás, disparaste demasiado despacio! ¡Tu enemigo gana con un tiro de lo más acertado!;ああ、撃つのが遅すぎたホー！+タイミングをはかった一撃で、+敵が勝ったホー！;아아, 너무 늦게 쏘아버렸습니다! 적들이 이기고 말았군요!;啊呀呀，你出手太慢！+而你的对手打出了漂亮一击，赢得决斗！;啊呀呀，你出手太慢！+而你的對手打出了漂亮一擊，贏得決鬥！;Beim Schießen wart Ihr leider viel zu lahm! Den Sieg der Gegner sich schon lange nahm!;Вы выстрелили слишком поздно, и побеждает враг ваш грозный!;Ahimè, la vostra arma in tempo non avete usato! Il nemico vince, con un colpo ben assestato!;Não, você foi lenta demais para disparar! Seu inimigo venceu, para o seu azar!;What...;Ne...;Mais...;¿¿Qué...??;えっ…;뭐라…;什么？;啥？;Was ...;Что?..;Cosa...;O que...;;;;;;;;;;;;;What...;Ne...;Mais...;¿¿Qué...??;えっ…;뭐라…;啥？;什麼?;Was ...;Что?..;Cosa...;O que...;;;;;;;;;;;;;
_duel_missed;347;owl>super;Alas, you fired your arm too quick! Now in that stance, you're doomed to stick!;Yazık, silahını çok hızlı ateşledin! Şimdi o duruşta kalmaya lanetlendin!;Hélas ! Vous avez tiré trop vite ! Dans cette posture, vous êtes vulnérable.;¡Alás, disparaste demasiado rápido! ¡Ahora bien en este caso, te toca apechugar!;ああ、撃つのが早すぎたホー！+そのザマじゃ、一生固まってもらうホー！;아아, 너무 빨리 발사하셨습니다! 이제 여왕님은 영원토록 그 자리에 계셔야 합니다!;啊呀呀，你出手过快！+这么看你完蛋了诶！;啊呀呀，你出手過快！+這麼看你完蛋了誒！;Beim Schießen wart Ihr leider viel zu schnell! Drum bleibt Ihr ewig nun in dem Duell!;Ох, с выстрелом вы поспешили — и вы одной ногой в могиле!;Ahimè, la vostra arma troppo presto avete usato! Ora dovrete rimanere per sempre in quello stato!;Não, você disparou com muita precipitação! Agora ficará para sempre nessa posição!;What...;Ne...;Mais...;¿¿Qué...??;えっ…;뭐라…;什么？;啥？;Was ...;Что?..;Cosa...;O que...;;;;;;;;;;;;;What...;Ne...;Mais...;¿¿Qué...??;えっ…;뭐라…;啥？;什麼?;Was ...;Что?..;Cosa...;O que...;;;;;;;;;;;;;
_duel_toolate;1306;owl;Alas, you fired your arm too slow! Go ahead, give it another go!;Yazık, silahını çok yavaş ateşledin! Hadi, bir kez daha dene!;Hélas ! Vous avez tiré trop lentement ! Ne vous découragez pas, tentez à nouveau votre chance !;¡Alás, disparaste demasiado despacio! ¡Vamos, prueba otra vez!;ああ、撃つのが遅すぎたホー！+もう一回だホー！;아아, 너무 늦게 발사하셨습니다! 한 번 더 발사해보세요!;啊呀呀，你出手太慢！+继续，再来一遍！;啊呀呀，你出手過慢！+繼續，再來一遍！;Beim Schießen wart Ihr leider viel zu lahm! Versucht es nochmal, aber nicht so zahm!;Вы выстрелили слишком поздно! Попробуйте еще! Серьезно!;Ahimè, la vostra arma in tempo non avete usato! Forza, provate un'altra volta, ma in modo più adeguato!;Não, você foi lenta demais para disparar! Vamos, volte a tentar!;;;;;;;;;;;;;;;;;;;;;;;;;Enough;Yeter;J'en ai assez !;Basta;もういい;충분하다;够了;夠了;Genug;Довольно;Basta!;Chega;;;;;;;;;;;;;
_duel_toolate;1307;owl>super;You cannot finish what you don't begin. You made no move, so your enemy wins!;Başlamadığın şeyi bitiremezsin. Hamle yapmadın, rakibin kazandı!;Dans un duel, il faut savoir se décider ! Vous n'avez pas bougé, et votre adversaire l'a emporté !;No se puede acabar lo que no se empieza. ¡No moviste ficha, así que te gana el enemigo!;撃たなきゃ何も始まらないホー！+ゆえに敵の勝利だホー！;시작하지도 않은 일을 끝낼 수는 없습니다. 아무것도 안 하셨으니, 적이 승리했습니다!;一动不动可不会赢+你看，你的对手赢了吧！;一動不動可不會贏+你看，你的對手贏了吧！;Nichts hat ein Ende, wenn Ihr's nicht beginnt. Ihr rührt Euch nicht, sodass der Gegner nun gewinnt!;В бой не вступив, триумфа ждем? Увы, победа за врагом!;Non potete terminare ciò che non è stato cominciato. Non avete fatto la vostra mossa e il nemico ha trionfato!;Você não pode terminar o que não começou. A sua oportunidade já passou!;What...;Ne...;Mais...;¿¿Qué...??;えっ…;뭐라…;什么？;啥？;Was ...;Что?..;Cosa...;O que...;;;;;;;;;;;;;What...;Ne...;Mais...;¿¿Qué...??;えっ…;뭐라…;啥？;啥？;Was ...;Что?..;Cosa...;O que...;;;;;;;;;;;;;
_end_statue;348;end>statue;<i>The owl transforms you into one of the duel room's statues. Now you, too, will watch over this chamber forever...</i>;<i>Baykuş seni düello odası heykellerinden birine dönüştürüyor. Şimdi sen de sonsuza dek burayı kollayacaksın...</i>;<i>La chouette vous pétrifie et votre statue orne désormais la Salle de Duel. Vous veillerez à jamais sur cette pièce...</i>;<i>El búho te convierte en una de las estatuas de la sala de duelos. Ahora velarás en ella para siempre...</i>;<i>女王はフクロウによって+決闘場の石像の一体へと変えられ、+永遠の番人と化した…</i>;<i>부엉이는 당신을 결투실의 조각상으로 바꿔버렸습니다. 이제 당신은 영원히 이 방을 바라보아야 합니다…</i>;<i>猫头鹰把你变成了决斗室里一尊雕像+你将守护这里，+从现在开始直到永远…</i>;<i>貓頭鷹把你變成了決鬥室裡一尊雕像+你將守護這裡，+從現在開始直到永遠…</i>;<i>Die Eule verwandelt Euch in eine der Statuen des Duellraums. Jetzt wacht auch Ihr für immer hier ...</i>;<i>Сова превращает вас в одну из статуй, стоящих в зале. И ваш дозор здесь продлится целую вечность…</i>;<i>Il gufo vi trasforma in una statua della sala dei duelli. Ora anche voi sorveglierete questa sala per sempre...</i>;<i>A coruja transforma você numa das estátuas da sala de duelos. Agora, você permanecerá neste cômodo para sempre...</i>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
first_card;115;king;What a splendid wedding that was! How does it feel to be my <*Queen*>?;Ne harika bir düğündü! Benim <*kraliçem*> olmak nasıl bir duygu?;Ce fut un mariage magnifique ! Vous plaît-il d'être ma <*Reine*> ?;¡Qué boda tan maravillosa! ¿Qué se siente al ser mi <*reina*>?;じつに壮麗な結婚式であった！+わが<*女王*>になったご感想は？;멋진 결혼식이었소! 내 <*여왕*>이 된 느낌은 어떠오?;多么盛大的婚礼！+做我的<*王后*>感觉如何？;好贊的婚禮！+做我的<*王后*>感覺怎樣？;Das war eine großartige Hochzeit! Wie fühlt es sich an, meine <*Königin*> zu sein?;До чего же роскошная у нас получилась свадьба! Каково это — быть моей <*королевой*>?;È stato un matrimonio meraviglioso! Come ci si sente a essere la mia <*regina*>?;Mas que casamento fabuloso! Como se sente em ser minha <*rainha*>?;Great;Harika;Bien sûr !;De lujo;最高よ;좋아요;太棒啦！;太棒啦！;Wunderbar;Превосходно;Benissimo;Ótima;;;;;;;;;;;;;I don't even know you;Seni tanımıyorum bile;Nous nous connaissons si peu.;Ni siquiera sé quién eres;実感がわかない;당신이 누군지도 모르는 걸요;我都不认识你;我都不認識你;Ich kenne Euch nicht mal;Я вас даже не знаю;Non vi conosco neanche;Eu não conheço você;;;;;;;;;;;;;
_;135;king;You'll get used to it. My mom did! And you'll have <comtesse> to train you up. See you later!;Alışırsın. Annem alıştı! Ve seni eğitmesi için <comtesse> var. Sonra görüşürüz!;Vous vous habituerez à la Cour. Comme ma mère en son temps. Et la <comtesse> vous y aidera. À plus tard !;Te acostumbrarás. ¡Mi madre lo hizo! La <comtesse> te enseñará. ¡Hasta pronto!;じきに慣れよう。わが母もそうだった。+すべて<comtesse>が+教えてくれる。ではまた！;나의 어머니처럼 익숙해지게 될 거요. <comtesse>이(가) 당신을 훈련시켜줄 거요. 나중에 봅시다!;你会习惯的+我的母亲也是这么过来的！+而且还有<comtesse>会帮助你+再见！;你會習慣的+我的母親也是這麼過來的！+而且還有<comtesse>會幫助你+再見！;Ihr werdet Euch dran gewöhnen. War bei meiner Mama auch so! Und <comtesse> kann Euch anleiten. Bis später!;Ну что вы! Привыкнете! Моя мама привыкла. А у вас есть <comtesse>: она обо всем вам расскажет. До скорого!;Vi ci abituerete. Ci è riuscita anche mia madre! Ci sarà la <comtesse> a insegnarvi tutto. A più tardi!;Você vai se habituar. Foi o que a minha mãe fez! E você terá a <comtesse> para treiná-la. Até logo!;Okay;Tamam;Je ferai de mon mieux.;Vale;わかった;알겠습니다;好吧;好吧;In Ordnung;Ладно;OK;OK;;;;;;;;;;;;;Ughh;Ughh;Pfft !;Mmm;ぬぐぐ;으윽;呃……;呃……;Urgh;Фу;Argh;Ughh;;;;;;;;;;;;;
_;137;comtesse;My, how young the new Queen is! It would honor me if you would call me 'mother'...;Yeni Kraliçe ne kadar da genç! Bana 'anne' demeniz beni onurlandırır...;Vous êtes si jeune pour une Reine ! Me feriez-vous la grâce de m'appeler "Mère" ?;¡Santa Virgen! ¡Qué joven es la nueva Reina! Sería un gran honor que me llamases 'madre'...;おお、新しい女王様のなんとお若いことか！+私を「お母さん」とお呼びください…;세상에, 정말 젊은 여왕님이시네요! '엄마'라 불러주시면 영광이겠습니다만…;天啊，新晋王后这么年轻啊！+如果你能叫我声妈妈就好了…;天啊，新晉王后這麼年輕啊！+如果你能叫我聲媽媽就好了…;Meine Güte, wie jung die neue Königin ist! Es wäre mir eine Ehre, wenn Ihr mich "Mutter" nennen würdet ...;Ах, как же молода наша новая королева! Зовите меня матерью: это большая честь для меня!;Quanto è giovane la nuova Regina! Per me sarebbe un onore se mi chiamaste "madre"...;Nossa, a nova rainha é tão jovem! Seria uma honra para mim se você me chamasse de "mãe"...;Pardon?;Pardon?;Pardon ?;¿Perdón?;ええ？;뭐라?;你说什么？;你說什麼？;Wie bitte?;Что-что?;Prego?;Perdão?;;;;;;;;;;;;;No!;Hayır!;Non !;¡No!;イヤよ！;싫다!;不！;不！;Nein!;Нет!;No!;Não!;;;;;;;;;;;;;
