name;id;bearer;reigning;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
;;(who speaks);(who sits on the throne);Max 135 char.;Max 135 char.;Max 135 char.;Max 135 char.;Max 135 char.;Max 135 char.;Max 135 char.;Max 135 char.;Max 135 char.;Max 135 char.;Max 135 char.;Max 135 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 30 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;Max 150 char.;
first_card;1;throne;daenerys;<i>Daenerys Stormborn of the House Targaryen, Mother of Dragons, the Iron Throne is yours.</i>;;<i>Daenerys du Typhon de la maison Targaryen, Mère des Dragons, le Trône de Fer est à vous.</i>;<i>Daenerys Stormborn de la Casa Targaryen, Madre de Dragones, el Trono de Hierro es vuestro.</i>;<i>ドラゴンの母、ターガリエン家の+デナーリス・ストームボーンよ、+鉄の玉座はあなたのものとなった。</i>;<i>타르가르옌 가문의 대너리스 스톰본, 드래곤의 어머니여, 철왕좌는 그대의 것이다.</i>;<i>坦格利安家族的风暴降生丹妮莉丝，+龙之母，铁王座已为您所有</i>;<i>坦格利安家族的風暴降生丹妮莉絲，+龍之母，鐵王座已為您所有</i>;<i>Daenerys Sturmtochter aus dem Haus Targaryen, Mutter der Drachen, der Eiserne Thron ist Euer.</i>;<i>Дейнерис Бурерожденная из дома Таргариенов, Мать драконов, Железный трон теперь Ваш.</i>;<i>Daenerys della Casa Targaryen, Nata dalla Tempesta, Madre dei Draghi, il Trono di Spade è vostro.</i>;<i>Daenerys Nascida da Tormenta, da Casa Targaryen, Mãe dos Dragões, o Trono de Ferro é seu.</i>;<i>Sit down</i>;;<i>S'asseoir</i>;<i>Te sientas</i>;<i>玉座に座る</i>;<i>앉는다</i>;<i>坐下</i>;<i>坐下</i>;<i>Platz nehmen</i>;<i>Занять трон</i>;<i>Vi sedete</i>;<i>Sentar</i>;;;;;;;;;;;;;<i>Turn away</i>;;<i>Reculer</i>;<i>Te das la vuelta</i>;<i>背を向ける</i>;<i>돌아선다</i>;<i>转身离开</i>;<i>轉身離開</i>;<i>Abwenden</i>;<i>Отвернуться</i>;<i>Rifiutate</i>;<i>Recuar</i>;;;;;;;;;;;;;
_;28;hand;daenerys;I wouldn't do that, it's horribly prickly. If you fancy something less adventurous, the small council is starting... ;;Je vous le déconseille, il est très inconfortable. Vous devriez opter pour une activité plus calme. Le Conseil restreint va commencer.;Yo no haría eso, es bastante peliagudo. Si estáis de un humor menos aventurero, el consejo privado está a punto de empezar...;座り心地が最悪ですから、私があなたの+立場にございましたら座らないでしょう。+もう少し安全なことをお望みでしたら、+小評議会がじきに始まりますぞ…;저라면 그러지 않겠습니다. 무시무시하게 가시로 뒤덮여있지 않습니까. 덜 모험적인 걸 원하신다면 소의회에 참석하시지요.;我可不建议那样做，上面全是尖刺+如果您想做些不太冒险的事情的话，+御前会议正要召开…;我不建議這麼做，上面都是尖刺+如果您不想做太冒險的事情的話，+御前會議正要召開…;Das würde ich nicht tun, er ist furchtbar pieksig. Falls Euch nach etwas weniger Kühnem ist: Der Kleine Rat beginnt ...;Я бы поостерегся, трон ужасно колюч. На собрании Малого совета куда безопаснее, и оно как раз вот-вот начнется...;Io non lo farei: è terribilmente permaloso. Se cercate qualcosa di meno arrischiato, il Concilio Ristretto sta iniziando...;Eu não faria isso, é terrivelmente desconfortável. Se quiser experimentar algo menos arriscado, o pequeno conselho está começando...;;;;;;;;;;;;;Then you must allow me... <i>He leads you to the Tower of the Hand.</i>;;Permettez-moi... <i>[Il%Elle] vous conduit jusqu'à la Tour de la Main.</i>;En ese caso, permitidme... <i>Te guía hasta la Torre de la Mano.</i>;なら、そうしましょう…+<i>彼はあなたを王の手の塔まで案内した。</i>;그렇다면 날 데려가라... <i>그는 당신을 핸드의 탑으로 데려갑니다.</i>;那么请您允许我…+<i>他带领你进入首相塔</i>;那麼請您允許我…+<i>他帶領你進入首相塔</i>;Dann erlaubt mir ... <i>Er führt Euch zum Turm der Hand.</i>;Тогда позвольте мне... <i>Он ведет вас в Башню Десницы.</i>;Allora, con il vostro permesso... <i>Vi conduce alla Torre del Primo Cavaliere.</i>;Permita-me acompanhá-la, então... <i>Ele leva você até a Torre da Mão.</i>;I need to see Drogon;;Je dois voir Drogon;Necesito ver a Drogon;ドロゴンと会わせて;드로곤을 봐야겠다;我要见卓耿;我要見卓耿;Ich muss nach Drogon sehen;Мне нужно увидеть Дрогона;Devo vedere Drogon;Preciso ver o Drogon;;;;;;;;;;;;;
_;29;hand;daenerys;I spend half my days as Hand watching you pace around the throne, as if you fear it. Shall we try the small council instead?;;Cela fait des jours que je vous vois tourner autour du trône comme s'il vous faisait peur. Rendez-vous plutôt au Conseil restreint ?;Me paso media vida como Mano viendo como os paseáis con miedo alrededor del trono. ¿Qué tal si organizamos un consejo privado?;玉座を恐れていらっしゃるかのように、+近くで歩き回られているところを+よく目にしますが、代わりに+小評議会でもいかがですかな？;두려우신 듯 왕좌 주변을 서성이는 것만도 한나절 동안 보는군요. 대신 소의회를 시작해도 괜찮을까요?;作为女王之手，+我看着您在王座旁转了大半天，+好像怕它似的+我们可否先去参加御前会议？;作為女王之手，+我看著您在王座旁轉了大半天，+好像怕它似的+我們可否先去參加御前會議？;Ständig sehe ich Euch zu, wie Ihr um den Thron geht, als würdet Ihr ihn fürchten. Sollen wir es lieber mit dem Kleinen Rat versuchen?;Я только и делаю, что наблюдаю за тем, как Вы опасливо ходите вокруг этого трона. Не желаете посетить собрание Малого совета?;Da Primo Cavaliere, ho passato giorni a vedervi esitare davanti al trono, come se lo temeste. Se provassimo con il Concilio Ristretto?;Passo a maior parte do tempo vendo você caminhando ao redor do trono, como se o temesse. Prefere ir para o pequeno conselho?;;;;;;;;;;;;;Then you must allow me... <i>He leads you to the Tower of the Hand.</i>;;Permettez-moi... <i>[Il%Elle] vous conduit jusqu'à la Tour de la Main.</i>;En ese caso, permitidme... <i>Te guía hasta la Torre de la Mano.</i>;なら、そうしましょう…+<i>彼はあなたを王の手の塔まで案内した。</i>;그렇다면 날 데려가라... <i>그는 당신을 핸드의 탑으로 데려갑니다.</i>;那么请您允许我…+<i>他带领你进入首相塔</i>;那麼請您允許我…+<i>他帶領你進入首相塔</i>;Dann erlaubt mir ... <i>Er führt Euch zum Turm der Hand.</i>;Тогда позвольте мне... <i>Он ведет вас в Башню Десницы.</i>;Allora, con il vostro permesso... <i>Vi conduce alla Torre del Primo Cavaliere.</i>;Permita-me acompanhá-la, então... <i>Ele leva você até a Torre da Mão.</i>;I need to see Drogon;;Je dois voir Drogon;Necesito ver a Drogon;ドロゴンと会わせて;드로곤을 봐야겠다;我要见卓耿;我要見卓耿;Ich muss nach Drogon sehen;Мне нужно увидеть Дрогона;Devo vedere Drogon;Preciso ver o Drogon;;;;;;;;;;;;;
;3;grand_maester;daenerys;Welcome, Your Grace, to the first council of your reign. We are here to advise you, should you need us.;;Bienvenue, Majesté, au premier conseil de votre règne. Nous sommes impatients de vous conseiller.;Bienvenida, Vuestra Excelencia, al primer consejo privado de vuestro reino.;女王陛下、あなたの+統治下で行われる、+初めての評議会へ+よくいらっしゃいました。+助言がお必要でしたら、+何なりとお聞きください。;어서오십시오, 폐하. 첫 통치에서의 첫 의회입니다. 필요하시면 저희가 조언을 드리겠습니다.;女王大人，+欢迎您参加就任后首次御前会议+我们会在您需要时为您建言献策;女王大人，+歡迎您參加就任後首次御前會議+我們會在您需要時為您建言獻策;Willkommen, Euer Gnaden, zum ersten Rat Eurer Herrschaft. Wir sind hier, um Euch zu beraten, solltet Ihr uns brauchen.;Ваша Светлость, добро пожаловать на первое собрание совета. Мы здесь, чтобы помочь Вам, ежели возникнет надобность.;Benvenuta, Vostra Grazia, al primo Concilio del vostro regno. Siamo qui per consigliarvi, sempre che ne abbiate bisogno.;Majestade, seja bem-vinda ao primeiro conselho do seu reinado. Estamos aqui para aconselhá-la, caso precise de nós.;Any news from the North?;;Des nouvelles du Nord ?;¿Alguna novedad en el Norte?;北部からの報せは？;북쪽에서 소식은 없는가?;北境有何消息？;北境有何消息？;Etwas Neues aus dem Norden?;Есть ли вести с Севера?;Notizie dal Nord?;Alguma notícia do Norte?;;;;;;;;;;;;;How tedious...;;Quel ennui...;Qué aburrimiento...;退屈ね…;지루하기도 해라...;真累人…;真累人…;Wie ermüdend ...;Как утомительно...;Che noia...;Que tédio...;;;;;;;;;;;;;
_show_money;4;coins;daenerys;Winterfell is asking for more <*money*>. They keep complaining about their losses during the War of the Five Kings.;;Winterfell demande davantage d'<*argent*>. Ils ne cessent de se plaindre des ravages causés par la Guerre des Cinq Rois.;Invernalia pide más <*dinero*>. Se siguen quejando acerca de sus pérdidas durante la Guerra de los Cinco Reyes.;ウィンターフェルが追加の+<*金*>を要求しています。+五王との戦いで負った+損失に困っているようです。;윈터펠에서 <*돈*>을 더 보내달라고 요청하고 있습니다. 다섯 왕의 전쟁에서 있었던 손실에 관해 계속 불평하고 있습니다.;临冬城想要一笔<*钱*>+他们总是拿自己在五王之战中+的损失说个没完;臨冬城想要一筆<*錢*>+他們總是拿自己在五王之戰中+的損失說個沒完;Winterfell bittet um mehr <*Geld*>. Sie klagen weiter über ihre Verluste im Krieg der Fünf Könige.;Винтерфелл просит еще <*денег*>. Они говорят, что их потери во время Войны пяти королей были слишком велики.;Grande Inverno pretende più <*denaro*>. Continuano a lamentare le perdite subite durante la Guerra dei Cinque Re.;Winterfell está pedindo mais <*dinheiro*>. Eles continuam reclamando das perdas que sofreram na Guerra dos Cinco Reis.;For good reason;;C'est compréhensible;Con razón...;もっともな理由だわ;대의를 위해서라면;不无道理;不無道理;Aus gutem Grund;И они правы;A ragione;E com razão;;;;;;;;;;;;;We can't help them;;Nous ne pouvons rien pour eux;No podemos ayudarles;援助はできない;도울 수 없다;爱莫能助;愛莫能助;Wir können ihnen nicht helfen;Мы не можем им помочь;Non possiamo aiutarli;Não podemos ajudar;;;;;;;;;;;;;
_show_people;5;hand;daenerys;Lady Sansa is loved by the <*people*>. A strong alliance with the North will benefit us. ;;Lady Sansa est très appréciée du <*peuple*>. Une solide alliance avec le Nord nous serait bénéfique.;El <*pueblo*> adora a Lady Sansa. Una fuerte alianza con el Norte nos beneficiaría.;レディ・サンサは<*人々*>に+愛されています。+北部と同盟を結べば、+我々にとって有益でしょう。;레이디 산사께서 <*백성*>들에게 사랑받고 계십니다. 북쪽과 강력한 동맹을 맺는다면 우리에게 득이 될 것입니다.;珊莎女士深受<*民众*>爱戴+与北境结成坚强同盟对我们有极大的好处;珊莎女士深受<*民眾*>愛戴+與北境結成堅強同盟對我們有極大的好處;Lady Sansa wird vom <*Volk*> geliebt. Ein starkes Bündnis mit dem Norden kommt uns zugute.;Леди Санса очень любима <*народом*>. Крепкий союз с Севером будет нам очень на руку.;Lady Sansa è amata dal <*popolo*>. Una forte alleanza con il Nord ci porterebbe grandi vantaggi.;Lady Sansa é amada pelo <*povo*>. Uma forte aliança com o Norte nos traria benefícios.;You are right;;Vous avez raison;Tienes razón;そのとおりね;네 말이 옳다;所言极是;所言極是;Ihr habt Recht;Твоя правда;Avete ragione;Tem razão;;;;;;;;;;;;;I doubt it;;J'en doute;Lo dudo;それはどうかしら;그건 좀 아닌 것 같다만;深表怀疑;深表懷疑;Das bezweifle ich;Сомневаюсь;Ne dubito;Duvido;;;;;;;;;;;;;
_show_faith;6;septon;daenerys;Help us spread the <*faith*> of the Seven and we will make sure this alliance is well received.;;Aidez-nous à étendre la <*Foi*> des Sept et nous nous assurerons que cette alliance soit bien perçue.;Ayudadnos a difundir la <*Fe*> de los Siete y nos aseguraremos de que esta alianza sea bien recibida.;七神正教の<*信仰*>を広める+手はずを整えてくだされば、+そのご恩は必ずお返しします。;칠신교에 대한 <*신앙*>을 퍼뜨릴 수 있게 도와주시지 않겠습니까? 이 동맹이 잘 받아들여지도록 힘쓰겠습니다.;请允许我们宣扬七神<*信仰*>，+我们保证教廷会深念圣恩;請允許我們宣揚七神<*信仰*>，+我們保證教廷會深念聖恩;Helft uns, den <*Glauben*> an die Sieben zu verbreiten, und wir sorgen dafür, dass dieses Bündnis gut aufgenommen wird.;Помогите нам распространить <*веру*> в Семерых, и мы сделаем все, чтобы этот союз пришелся по нраву народу.;Se ci aiuterete a diffondere il <*Culto*> dei Sette, ci assicureremo che questa alleanza vada a buon fine.;Ajude-nos a difundir a <*fé*> dos Sete, e faremos com que essa aliança seja bem recebida.;Your help is appreciated;;Votre aide me sera précieuse;Aprecio vuestra ayuda;力を貸してちょうだい;도와주겠다;感激至极;感激至極;Ich danke Euch für das Angebot;Ваша помощь будет очень кстати;Apprezzo il vostro aiuto;Sua ajuda é bem-vinda;;;;;;;;;;;;;I will consider it;;Je vais y réfléchir;Lo pensaré;考えておくわ;고려해보지;容我三思;容我三思;Ich werde darüber nachdenken;Я подумаю об этом;Ci penserò;Vou pensar no caso;;;;;;;;;;;;;
_show_power;7;spider;daenerys;I humbly advise you never to give any of your <*power*> to priests. They will turn it against you eventually.;;Je vous recommande humblement de ne jamais déléguer le moindre <*pouvoir*> aux prêtres. Ils finiront un jour par vous trahir.;Os aconsejo humildemente que nunca deis vuestro <*poder*> a los sacerdotes. Algún día lo usarán en contra vuestra.;お言葉ですが、司祭どもに一切の+<*権力*>を与えてはなりませんぞ。+いずれあなたを裏切るでしょう。;청하건대 사제들에게 <*권력*>을 주지 않으심이 좋습니다. 결국엔 배신할 것입니다.;恕我愚鲁，但鄙人建议您+万万不可将<*权力*>授予那帮教士+早晚有一天他们会反咬你一口;恕我愚魯，但鄙人建議您+萬萬不可將<*權力*>授予那幫教士+早晚有一天他們會反咬你一口;Mein bescheidener Rat: Gebt Priestern nie irgendetwas von Eurer <*Macht*> ab. Sie werden sie irgendwann gegen Euch verwenden.;Примите мой скромный совет: не стоит давать <*власть*> служителям церкви. Они используют ее против Вас.;Vi consiglio umilmente di non cedere <*potere*> ai sacerdoti: finiranno per usarlo contro di voi.;Eu a aconselho humildemente a nunca ceder parte do seu <*poder*> aos sacerdotes. Eles acabarão usando esse poder contra Vossa Majestade.;Indeed...;;En effet...;En efecto...;そうね…;그렇다...;没错…;沒錯…;So ist es ...;Верно...;In effetti...;Realmente...;;;;;;;;;;;;;But they're useful...;;Mais ils peuvent être utiles;Pero son tan útiles...;でも彼らは役に立つわ…;하지만 쓸모 있거늘...;但他们能派上用场…;但他們能派上用場…;Aber sie sind nützlich ...;Но они могут быть полезны...;Ma mi fanno comodo...;Mas eles são úteis...;;;;;;;;;;;;;
_;39;septon;daenerys;I heard that. My love for the Crown is as pure as the Maiden!;;Vous vous trompez ! Mon attachement pour la Couronne est aussi pur que la Jouvencelle !;Entendido. ¡Mi amor por la Corona es tan puro como la más pura doncella!;聞こえたぞ。私の忠誠心は+乙女の正教と同じくらい純真だ！;다 들었습니다. 왕관을 향한 제 사랑은 처녀만큼이나 순결합니다!;那话我听到了+我对陛下的敬爱之情有如圣女一般纯洁！;那話我聽到了+我對陛下的敬愛之情有如聖女一般純潔！;Das habe ich gehört. Meine Liebe für die Krone ist so rein wie die Jungfrau!;Я все слышал. Моя любовь к Короне чиста подобно Деве!;Ho sentito tutto. Il mio amore per la Corona è puro come la Fanciulla!;Eu ouvi isso. Meu amor pela Coroa é tão puro quanto a Donzela!;I belie--;;Je pense...;Creo q--;私は信じて―;그래 믿는--;我信你…;我信你…;Ich glau...;Я увере--;Vi cred...;Eu acredi--;<i>A Gold Cloak storms into the small council room...</i>;;<i>Un Manteau d'or fait irruption dans la salle du Conseil restreint...</i>;<i>Un Capa Dorada entra arrasando en la sala del consejo privado...</i>;<i>金マントの一人が+小評議会室へ入り込む…</i>;<i>황금 망토가 소의회실로 급히 들어옵니다...</i>;<i>一名金袍卫士闯入御前会议室…</i>;<i>一名金袍衛士闖入御前會議室…</i>;<i>Ein Goldrock stürmt in den Saal des Kleinen Rats ...</i>;<i>Золотой плащ врывается в комнату Малого совета...</i>;<i>Una Cappa Dorata fa irruzione nella sala del Concilio Ristretto...</i>;<i>Um Manto Dourado entra às pressas na sala do pequeno conselho...</i>;You shou--;;Vous devriez...;Deber--;あなたは―;그만 여기서---;你需要…;你需要…;Ihr sol...;Вам сто--;Dovrest...;O senhor deve--;<i>A Gold Cloak storms into the small council room...</i>;;<i>Un Manteau d'or fait irruption dans la salle du Conseil restreint...</i>;<i>Un Capa Dorada entra arrasando en la sala del consejo privado...</i>;<i>金マントの一人が+小評議会室へ入り込む…</i>;<i>황금 망토가 소의회실로 급히 들어옵니다...</i>;<i>一名金袍卫士闯入御前会议室…</i>;<i>一名金袍衛士闖入御前會議室…</i>;<i>Ein Goldrock stürmt in den Saal des Kleinen Rats ...</i>;<i>Золотой плащ врывается в комнату Малого совета...</i>;<i>Una Cappa Dorata fa irruzione nella sala del Concilio Ristretto...</i>;<i>Um Manto Dourado entra às pressas na sala do pequeno conselho...</i>;
