name;en_title (max: 15 char.);tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;description;tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description;achievement;tu_achievement;fr_achievement;es_achievement;jp_achievement;ko_achievement;sc_achievement;tc_achievement;de_achievement;ru_achievement;it_achievement;bp_achievement
;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 35 char.;Max 35 char.;Max 35 char.;Max 35 char.;Max 35 char.;Max 35 char.;Max 35 char.;Max 35 char.;Max 35 char.;Max 35 char.;Max 35 char.;Max 35 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.
young;the Maiden;Genç Kız;la Jouvencelle;la Doncella;純潔女王;처녀;青春者;青春者;die Jungfrau;Дева;la Donzella;a Donzela;Rule at least five years;En az beş yıl hükmet;Rester au pouvoir au moins cinq ans;Gobernar al menos cinco años;5年以上統治する;최소 5년 동안 통치한다;统治王国5年以上;統治王國5年以上;Regiert mindestens 5 Jahre;Править не менее пяти лет;Governa per almeno cinque anni;Governe por pelo menos 5 anos;;;;;;;;;;;;
wise;the Heathen;Kafir;la Païenne;la Bárbara;異端女王;이교도;智慧者;智慧者;die Heidin;Язычница;l'Illuminata;a Pagã;Recruit the acolyte;Sofuyu yanına al;Recruter la Disciple;Reclutar a la discípula;侍祭を雇う;여사제를 고용한다;征召侍祭;徵召侍祭;Rekrutiert die Akolythin;Призвать на службу жрицу;Ingaggia l'Accolita;Recrute a acólita;Moon Magic;Ay Sihri;Poussière de Lune;Magia de Luna;月の魔法;달의 마법;月之魔法;月之魔法;Mondmagie;Лунная магия;Magia lunare;Magia Lunar
patron;the Patron;Efendi;la Mécène;la Mecenas;支援女王;후원자;赞助者;贊助者;die Mäzenin;Покровительница;la Finanziatrice;a Patrona;Meet the explorer;Kaşifle görüş;Rencontrer l'Explorateur;Conocer al explorador;探検家に会う;탐험가를 만난다;接见探险家;接見探險家;Begegnet dem Entdecker;Встретить путешественника;Incontra l'Esploratore;Encontre o explorador;Discovery Channel;Discovery Channel;Grandes Découvertes;;発見の徒;디스커버리 채널;探索频道;探索頻道;Forschungsdrang;Канал открытий;Discovery Channel;Discovery Channel
fateful;the Fateful;Vahim;la Divinatrice;la Ominosa;宿命女王;운명;命定者;命定者;die Mystikerin;Роковая;la Premonitrice;a Fiel;Upgrade your clock;Saatini geliştir;Améliorer votre pendule;Actualizar el reloj;時計を強化する;시계를 업그레이드 한다;升级你的钟;升級你的鐘;Wertet Eure Uhr auf;Улучшить королевские часы;Potenzia l'orologio;Aprimore o seu relógio;Mysteries of the Zodiac;Zodyak'ın Gizemleri;Mystères du zodiaque;Misterios del Zodíaco;星座の神秘;황도십이궁의 신비;星座之谜;星座之謎;Geheimnisvoller Tierkreis;Тайны зодиака;I misteri dello zodiaco;Mistérios do zodíaco
amicable;the Amicable;Barışçıl;l'Aimable;la Amistosa;友好女王;우호적인 자;友善者;友善者;die Freundliche;Душа компании;l'Amichevole;a Afável;Host a neighboring kingdom;Bir komşu krallığı ağırla;Recevoir des souverains voisins;Acoger a un reino vecino;隣国をもてなす;이웃 왕국을 다스린다;招待邻国;招待鄰國;Empfangt ein Nachbarland;Принять гостей из соседнего королевства;Ospita un regno vicino;Receba um reino vizinho;Double Date;Çifte Randevu;Dîner à quatre;Cita doble;ダブルデート;더블 데이트;对对碰;對對碰;Doppeltes Königspaar;Двойное свидание;Doppia coppia;Encontro duplo
council;the Advisor;Akıl Hocası;la Conseillère;la Consejera;有識女王;조언자;纳言者;納言者;die Beraterin;Советница;la Consigliera;a Conselheira;Join the royal council;Kraliyer konseyine katıl;Appartenir au Conseil royal;Unirse al consejo real;王室評議会に加わる;왕국 의회에 입회한다;加入皇家顾问团;加入皇家議事機構;Tretet dem königlichen Rat bei;Вступить в королевский совет;Entra nel consiglio reale;Junte-se ao conselho real;;;;;;;;;;;;
witch;the Sorceress;Büyücü;la Magicienne;la Maga;魔女王;마녀;女巫师;女巫師;die Zauberin;Чародейка;la Fattucchiera;a Feiticeira;Recruit the witch;Cadıyı işe al;Recruter la sorcière;Reclutar a una bruja;魔女を雇う;마녀를 고용한다;招募女巫;招募女巫;Rekrutiert die Hexe;Призвать на службу ведьму;Ingaggia la Strega;Recrute a bruxa;So Must It Be;Öyle Olmalı;Le sort en est jeté;Que así sea;そうあれかし;그 또한 그러하리라;势在必行;勢在必行;Es muss sein;Да будет так;E così sia;Como deve ser
widow;the Widow;Dul;la Veuve;la Viuda;寡婦女王;미망인;女皇帝;女皇帝;die Witwe;Вдова;la Vedova;a Viúva;Rule without the King;Kral olmadan hükmet;Régner sans le Roi;Gobernar sin el Rey;王なしで統治する;왕 없이 나라를 다스린다;没有国王，独自统治;沒有國王，獨自統治;Herrscht ohne den König;Править без короля;Governa senza il Re;Governe sem o rei;Slay Queen;Katleden Kraliçe;Reine régicide;Hacer reír a la Reina;人殺し女王;여왕 살해;最毒妇人;最毒婦人;Schwarze Königin;Кровавая королева;Uccidete la regina!;Rainha mortal
romantic;the Romantic;Romantik;la Romantique;la Romántica;浪漫女王;낭만적인 자;浪漫者;浪漫者;die Romantische;Романтичная;la Romantica;a Romântica;Play matchmaker at court;Sarayda çöpçatanlık yap;Jouer les entremetteuses;Jugar a ser alcahueta;恋仲をとりもつ;궁정에서 뚜쟁이 역할을 한다;在宫廷中当媒人;在宮廷中當媒人;Spielt am Hof die Kupplerin;Стать свахой при дворе;Fai il gioco delle coppie a corte;Banque a casamenteira na corte;;;;;;;;;;;;
