thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_cash;yes_team;yes_market;yes_capital;yes_custom;override_no;answer_no;no_cash;no_team;no_market;no_capital;no_custom
act1;intern_open;1;财务部主管 周启明;turn=1;del;900000;"八万元市场费报销单，差一个签字。
主管把笔推给你：今晚把它变成花掉的钱。";先平账，留副本;你把发票拆成三张。现金到账，副本留在你的云盘里。;4;-1;1;1;dirty_route and risk+ and evidence+ and >_intern_fix;上交审计;你把单据放进审计邮箱。下午，主管第一次叫你全名。;;1;-1;1;clean_route and evidence+ and >_intern_audit
act1;intern_audit;2;审计专员 林岚;;del;;匿名邮箱里只有一张单据。审计问：你愿不愿意留下名字？;匿名就好;审计收下了证据。你没出名，却多了一张能回头的牌。;;1;1;1;audit_report and >_intern_audit_result;实名提交;你签了名。主管没有被立刻开掉，但你的试用期被立刻延长。;;2;;1;audit_report and clean_courage and >_intern_audit_result
act1;intern_audit_result;3;财务部主管 周启明;;del;;主管被叫去喝茶，回来后只问了一句：是不是你？;装没看见;你低头整理文件。主管笑了，记住了你的沉默。;1;1;1;1;silent_clean and >_intern_promotion;看着他说是;你没有躲。人事部把你调去最缺人的项目组。;1;1;1;1;clean_courage and >_intern_promotion
act1;intern_fix;4;财务部主管 周启明;;del;;主管把第二张发票递回来：咨询费写高一点，差额算你的辛苦费。;让他自己签;你把笔推回去。主管没骂你，只把你的名字从会议名单删掉。;;1;-1;1;invoice_refused and >_intern_gift;改成咨询费;你的工资还没涨，银行卡先多了八千。;2;-1;1;1;invoice_fixed and risk+ and >_intern_gift and dirty_route
act1;intern_gift;5;财务部主管 周启明;;del;;项目过了。主管要你用部门卡买一块表，今晚送到他家。;发票走私人;你替他垫了钱。主管说以后会还，像所有不准备还的钱一样。;-2;1;1;1;leader_debt and >_intern_promotion;刷部门卡;表送到了。你的转正通知也送到了。;-2;;1;1;leader_favor and risk+ and >_intern_promotion and dirty_route
act1;intern_promotion;6;人事经理;;del;;正式员工名额只有一个。你的项目报告里，三个人都写了自己。;把救火写成我的;你升得更快。许棠在茶水间学会了不再叫你的名字。;1;-2;2;2;credit_hog and risk+ and manager_role and >_manager_power and dirty_route;把功劳写给团队;你拿到正式编制。工程师许棠把你的名字写进了项目群公告。;;2;1;1;team_credit and manager_role and >_manager_team
act2;manager_team;7;工程师 许棠;;del;;"你刚拿到正式编制，许棠把一份真实的故障清单放到你桌上：
‘你要带我们赢，还是只要看起来赢？’";先把数字做漂亮;你删掉三条红色告警。周启明给你一张新名片：项目负责人。;2;-1;2;1;manager_spin and risk+ and >_manager_team_review and dirty_route;把他放进核心群;你把故障清单原样发给客户。许棠第一次在会上替你说话。;-1;2;1;1;team_mentor and honest_manager and >_manager_team_review
act2;manager_power;8;事业部副总 周启明;;del;;"周启明没有祝贺你，只把一把客户会议室的钥匙推过来：
‘替我拿下这个客户，你的名字就能继续往上写。’";先替他扛下来;你接过钥匙，也接过他的债。周启明在通讯录里给你改了备注：自己人。;2;-1;2;2;leader_favor and risk+ and >_manager_power_review and dirty_route;要书面授权;你让他把承诺写进邮件。第一次，你的晋升速度换成了可追溯的权力。;1;1;2;2;power_in_writing and >_manager_power_review
act2;manager_team_review;9;项目经理 许棠;;del;;许棠把客户的追问转给你：他们要的不是漂亮数字，而是明天还能不能上线。;替他讲成路线图;你把故障改名成路线图。许棠没有反驳，只把原版留在自己的硬盘里。;1;-1;2;1;manager_spin and risk+ and >_manager_day1 and dirty_route;让他当面解释;许棠把真实故障讲清楚。客户留下，团队也知道你不会把人藏到报告后面。;-1;2;1;1;team_mentor and >_manager_day1
act2;manager_power_review;10;事业部副总 周启明;;del;;"周启明把客户会议留给你，却没有把承诺写进授权书：
‘你先做出结果，手续总会补。’";先替他签字;你用自己的名字填上空白。周启明的承诺变成你的债，职位也提前升了一格。;2;-1;1;2;leader_favor and risk+ and >_manager_day1 and dirty_route;把客户拉进邮件;你让客户成为见证人。周启明不高兴，但再也不能说这只是你的个人承诺。;1;1;2;1;power_in_writing and >_manager_day1
