id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp;
kings;KINGS;KRALLAR;ROIS;REYES;KINGS;왕;国王;國王;KÔNIGE;КОРОЛИ;RE;REIS;
queens;QUEENS;KRALİÇELER;REINES;REINAS;QUEENS;여왕;王后;王后;KÔNIGINNEN;КОРОЛЕВЫ;REGINE;RAINHAS;
yellow;YELLOW;SARI;JAUNE;AMARILLO;黄;노랑;黄色;黃色;GELB;ЖЕЛТЫЙ;GIALLO;AMARELO;
blue;BLUE;MAVİ;BLEU;AZUL;青;푸른;蓝色;藍色;藍色;СИНИЙ;BLU;AZUL;
action_confirm;CONFIRM;ONAYLA;CONFIRMER;CONFIRMAR;決定;결정;确认;確認;BESTÂTIGEN;ПОДТВЕРДИТЬ;CONFERMA;CONFIRMAR;
action_returnmenu;Return to main menu;Ana menüye dön;Retour au menu principal;Volver al menú principal;メインメニューへ戻る;메인 메뉴로 돌아간다;回到主菜单;回到主菜單;Zurück ins Hauptmenü;В главное меню;Torna al menu principale;Voltar ao menu principal;
action_controllers;Configure controllers;Kumandaları yapılandır;Configuration manettes;Configurar mandos;コントローラーの設定;컨트롤러 설정;设置手柄;設定手柄;Controller konfigurieren;Настройка управления;Configura controller;Configurar controles;
action_effects;INVENTORY;ENVANTER;INVENTAIRE;INVENTARIO;インベントリ;인벤토리;库存;庫存;INVENTAR;ИНВЕНТАРЬ;INVENTARIO;INVENTÁRIO;
action_one;ONE PLAYER MODE;TEK OYUNCU MODU;MODE 1 JOUEUR;MODO 1 JUGADOR;1 PLAYER MODE;1인 모드;单人模式;單人模式;1 SPIELER;ОДИНОЧНЫЙ РЕЖИМ;MODALITÀ A UN GIOCATORE;UM JOGADOR;
action_two;TWO PLAYER MODE;İKİ OYUNCU MODU;MODE 2 JOUEURS;MODO 2 JUGADORES;2 PLAYER MODE;2인 모드;双人模式;雙人模式;2 SPIELER;ДВА ИГРОКА;MODALITÀ A DUE GIOCATORI;DOIS JOGADORES;
action_main;MAIN MENU;ANA MENÜ;MENU PRINCIPAL;;メインメニュー;메인 메뉴;主菜单;主菜單;HAUPTMENÛ;ГЛАВНОЕ МЕНЮ;MENU PRINCIPALE;MENU PRINCIPAL;
num;st;.;er;era;第;대 여왕;第;第;.;-я;°;ª;null
;nd;.;e;ª;代女王;대 여왕;代王后;代王后;.;-я;°;ª;
;rd;.;e;era;;대 여왕;;;.;-я;°;ª;
;th;.;e;ª;;대 여왕;;;.;-я;°;ª;
building;BUILDING THE PALACE;SARAY İNŞA EDİLİYOR;CONSTRUCTION DU CHÂTEAU;CONSTRUYENDO EL CASTILLO;城を建設中;성 건설 중;建造城堡中;建造城堡中;PALAST ERRICHTEN;СТРОИМ ЗАМОК;COSTRUZIONE DEL CASTELLO;CONSTRUINDO O PALÁCIO;
updating;WRITING THE CARDS;KARTLAR YAZILIYOR;ÉCRITURE DES CARTES;ESCRIBIENDO CARTAS;カードを執筆中;카드 작성 중;撰写卡牌中;撰寫卡牌中;KARTEN BESCHREIBEN;ПИШЕМ КАРТЫ;SCRITTURA DELLE CARTE;ESCREVENDO AS CARTAS;
nomemory;Fading memory of another dimension;Başka bir boyutun solan hatırası;Souvenir perdu d'une autre dimension;Recuerdo perdido de otra vida;別の次元の遠い記憶;다른 차원의 불확실한 기억;有关另一个时空的回忆+在逐步消逝;有關另一個時空的回憶+在逐步消逝;Die verblassende Erinnerung an eine andere Dimension;Исчезающие воспоминания о другом измерении;Ricordo sbiadito di un'altra dimensione;Lembrança efêmera de outra dimensão;
slowly1;Take a breath!;Nefes al!;Respirez !;¡Respira!;落ち着いて！;진정하십시오!;深呼吸！;深呼吸！;Immer mit der Ruhe!;Вдохните!;Respira!;Respire!;
slowly2;Swipe sloooowly to see your answers and their consequences for the Kingdom.;Cevaplarını ve Krallık için sonuçlarını görmek için yavaaaşça kaydır.;Balayez leeeeentement pour voir les réponses et leurs conséquences sur le royaume.;Desliza leeeentamente para ver las respuestas y sus consecuencias en el reino.;ゆ～～っくりスワイプして答えを確認し、+王国の行く末を定めよ。;천~~~천히 좌우로 움직여 대답을 확인하고 왕국의 운명을 결정하십시오.;慢慢地划动卡牌+来查看你的回答+会对王国造成的影响;慢慢地滑動卡牌+來查看你的回答+會對王國造成什麼樣的影響;Wischt laaaangsam, um Eure Antworten und deren Folgen für das Königreich zu sehen.;Ме-е-е-едленно смахните, чтобы увидеть ответы и их влияние на королевство.;Fai scorrere leeentamente per vedere le tue risposte e le loro conseguenze per il Regno.;Deslize beeeem devagar para ver as respostas e suas respectivas consequências no reino.;
action_reset;NEW GAME;YENİ OYUN;RECOMMENCER;NUEVA PARTIDA;NEW GAME;새 게임;新游戏;新遊戲;NEUES SPIEL;НОВАЯ ИГРА;NUOVA PARTITA;NOVO JOGO;
action_next;NEXT;SIRADAKİ;CONTINUER;CONTINUAR;NEXT;다음;继续;繼續;FORTFAHREN;ДАЛЕЕ;AVANTI;AVANÇAR;
action_controller;PRESS;TIKLA;APPUYER;PULSAR;をプッシュ;누르기;长按;長按;DRÜCKEN;НАЖМИТЕ;PREMI;APERTE;
action_leap;CLAP!;EL ÇIRP!;APPLAUDIR !;¡APLAUDIR!;手をたたけ！;박수!;拍手！;拍手！;APPLAUS!;ХЛОПНИТЕ!;APPLAUDI!;APLAUDIR!;
action_mouse;NEXT;SIRADAKİ;CONTINUER;SIGUIENTE;NEXT;다음;继续;繼續;FORTFAHREN;ДАЛЕЕ;AVANTI;AVANÇAR;
action_select;SELECT;SEÇ;CHOISIR;ELEGIR;SELECT;선택;选择;選擇;WÄHLEN;ВЫБРАТЬ;SELEZIONA;SELEC.;
action_menu;MENU;MENÜ;MENU;MENÚ;MENU;메뉴;菜单;選單;MENÜ;МЕНЮ;MENU;MENU;
yearsold;year|years;yıl|yıl;an|ans;años;歳;세|세;年|年;年|年;Jahr|Jahre;год|года|лет;anno|anni;ano|anos;
yourcourt;Your court;Sarayın;Votre cour;¡Vuestra corte;お帰りなさい、;왕좌에 오르소서,;您的臣下;您的臣下;Euer Hof;Ваш двор;La vostra corte;A corte está à;
awaits;awaits!;bekliyor!;attend !;espera!;女王陛下！;여왕 폐하!;谨遵懿旨！;謹遵懿旨！;wartet!;ожидает!;attende!;espera!;
yes;Yes;Evet;Oui;Sí;はい;그래;（点头）;（點頭）;Ja;Да;Sì;Sim;
no;No;Hayır;Non;No;いいえ;아니된다;（摇头）;（搖頭）;Nein;Нет;No;Não;
ends;ends found;bulunan sonlar;fins trouvées;fin encontrado;:発見したエンディング;엔딩 수;不同的死法;不同的死法;Enden entdeckt;— найдено концовок;finali trovati;finais encontrados;
newcards;NEW CARDS!;YENİ KARTLAR!;NOUVELLES CARTES !;¡CARTAS NUEVAS!;新カード発見！;새 카드 발견!;新卡牌！;新卡牌！;NEUE KARTEN!;НОВЫЕ КАРТЫ!;NUOVE CARTE!;NOVAS CARTAS!;
options;OPTIONS;SEÇENEKLER;OPTIONS;OPCIONES;OPTION;옵션;选项;選項;OPTIONEN;НАСТРОЙКИ;OPZIONI;OPÇÕES;
action_back;BACK;GERİ;RETOUR;ATRÁS;BACK;뒤로;返回;返回;ZURÜCK;НАЗАД;INDIETRO;VOLTAR;
sfx_volume;SFX Volume;SFX Sesi;Volume sons;Volumen sonido;SE音量;효과음;音效音量;音效音量;Lautstärke Effekte;Громкость звуков;Volume effetti;Volume de sons;
togglevo;Voice-over characters;Karakter seslendirme;Voix personnages;Voz personajes;キャラクターボイス;캐릭터 음성;角色语音;角色語音;Vertonte Charaktere;Голоса персонажей;Voce personaggi;Personagens dublados;
music_volume;Music Volume;Müzik Sesi;Volume musique;Volumen música;BGM音量;배경음;音乐音量;音樂音量;Lautstärke Musik;Громкость музыки;Volume musica;Volume de música;
language;Language;Dil;Langue;Idioma;言語;언어;语言;語言;Sprache;Язык;Lingua;Idioma;
resolution;Screen resolution;Ekran çözünürlüğü;Résolution écran;Resolución pantalla;画面解像度;화면 해상도;分辨率;解析度;Bildschirmauflösung;Разрешение экрана;Risoluzione schermo;Resolução de tela;
togglewin;Full screen;Tam ekran;Plein écran;Pantalla completa;フルスクリーン;전체화면;全屏;全螢幕;Vollbild;Полный экран;Schermo intero;Tela cheia;
apply;APPLY;UYGULA;APPLIQUER;APLICAR;適用;적용;应用;應用;ANWENDEN;ПРИНЯТЬ;APPLICA;APLICAR;
link1;MORE REIGNS!;DAHA FAZLA REIGNS;PLUS DE REIGNS ! ET D'AMOUR !;¡MÁS REIGNS! ¡Y MÁS AMOR!;「REIGNS」WEBサイトへ;"REIGNS" 웹사이트 방문;REIGNS 官网信息;REIGNS 官網資訊;MEHR REIGNS!;БОЛЬШЕ ПРАВЛЕНИЯ!;PIÙ REGNI!;MAIS REIGNS!;
start;START;BAŞLATIN;START;EMPEZAR;START;시작;开始;開始;START;НАЧАТЬ;INIZIA;INICIAR;
swipe;SWIPE;KAYDIR;BALAYEZ;APLAUDIR;スワイプ;스와이프;划动;滑動;WISCHEN;СМАХНИТЕ;FAI SCORRERE;DESLIZAR;
gameover;THE END;SON;FIN;FIN;THE END;끝;剧终;劇終;ENDE;КОНЕЦ;FINE;O FIM;
resetall_label;Game data seems to be corrupted. Reset everything?;Oyun verileri bozulmuş görünüyor. Her şey sıfırlansın mı?;Les données de jeu semblent corrompues. Réinitialiser ?;Los datos del juego parecen corrompidos. ¿Reiniciar?;ゲームのデータが破損しています。リセットしますか？;게임 데이터가 손상되었습니다. 리셋하시겠습니까?;疑似游戏数据损毁+是否全部重置？;遊戲資料似已損毀+是否全部重啟？;Spieldaten scheinen beschädigt zu sein. Alles zurücksetzen?;Похоже, игровые данные повреждены. Сбросить?;I dati di gioco sembrano essere danneggiati. Vuoi reimpostarli?;Os dados de jogo parecem estar corrompidos. Apagar tudo?;
reset_label;Do you want to reset the game?;Oyunu sıfırlamak ister misin?;Voulez-vous réinitialiser le jeu ?;¿Quieres reiniciar el juego otra vez?;ゲームをリセットしますか？;게임을 리셋하시겠습니까?;您确定要重置游戏吗？;您確定要重啟遊戲嗎？;Spiel zurücksetzen?;Сбросить игровой прогресс?;Vuoi reimpostare il gioco?;Deseja reiniciar o jogo?;
reset;RESET;SIFIRLA;RÉINITIALISER;REINICIAR;リセット;리셋;重置;重啟;ZURÜCKSETZEN;СБРОСИТЬ;REIMPOSTA;REINICIAR;
quit_label;Do you want to quit the game?;Oyundan çıkmak istiyor musun?;Voulez-vous quitter le jeu ?;¿Quieres abandonar el juego?;ゲームを終了しますか？;게임을 종료하시겠습니까?;您确定要退出游戏吗？;您確定要退出遊戲嗎？;Spiel beenden?;Выйти из игры?;Vuoi uscire dal gioco?;Deseja sair do jogo?;
quit;QUIT;ÇIK;QUITTER;SALIR;ゲームを終了;종료;退出;退出;BEENDEN;ВЫЙТИ;ESCI;SAIR;
cancel;CANCEL;İPTAL;ANNULER;CANCELAR;キャンセル;취소;取消;取消;ABBRECHEN;ОТМЕНИТЬ;ANNULLA;CANCELAR;
agameby;A game by;Oyunu;Un jeu de;Un juego de;MADE BY;제작자:;本游戏由;本遊戲由;Ein Spiel von;Игра;Un gioco di;Um jogo de;
devby;Game Dev;Oyun Geliş.;;Desarrollador;開発;개발;开发者;開發者;Entwicklung;Разработка;Sviluppo;Desenv.;
artby;Art;Sanat;Graphismes;Arte;アート;아트;美术;美術;Grafik;Арт;Grafica;Arte;
musicby;Audio direction;Ses yönü;Direction audio;Dirección de sonido;オーディオ ディレクション;오디오 디렉션;音效指导;音效指導;Audio-Regie;Звукорежиссура;Direzione audio;Direção de áudio;
