name;en_title (max: 15 char.);tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;description;tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description;achievement;tu_achievement;fr_achievement;es_achievement;jp_achievement;ko_achievement;sc_achievement;tc_achievement;de_achievement;ru_achievement;it_achievement;bp_achievement
;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 16 char.;Max 40 char.;Max 35 char.;Max 40 char.;Max 40 char.;Max 40 char.;Max 40 char.;Max 35 char.;Max 35 char.;Max 40 char.;Max 40 char.;Max 40 char.;Max 40 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.;Max 25 char.
young;the Mother of Dragons;;la Mère des Dragons;la Madre de Dragones;ドラゴンの母;드래곤의 어머니;龙之母;龍之母;die Mutter der Drachen;Мать драконов;la Madre dei Draghi;a Mãe dos Dragões;Wake up Drogon;;Réveiller Drogon;Despertar a Drogon;ドロゴンを起こす;드로곤을 깨운다;唤醒卓耿;喚醒卓耿;Weckt Drogon;Пробудить Дрогона;Risveglia Drogon;Acorde o Drogon;;;;;;;;;;;;
magnanimous;the Magnanimous;;(le*la) Magnanime;(el Magnánimo*la Magnánima);寛大;관대한 자;雅量者;雅量者;(der*die) Großmütige;Ваше Великодушие;(il Magnanimo*la Magnanima);(o Magnânimo*a Magnânima);Hear a request from the North;;Entendre une requête du Nord;Escuchar una petición del Norte;北部からの要求を聞く;북쪽에서의 요청을 듣는다;听取来自北境的请求;聽取來自北境的請求;Hört eine Bitte aus dem Norden an;Выслушать просьбу Севера;Ascolta una richiesta del Nord;Ouça um pedido do Norte;;;;;;;;;;;;
dove;the Fool;;l'(Idiot*Idiote);(el Bobo*la Boba);愚者;어리석은 자;愚者;愚者;(der Narr*die Närrin);Ваша Глупость;(lo Stolto*la Stolta);(o Tolo*a Tola);Witness an unexpected use of wildfire;;Offrir du feu grégeois;Descubrir un uso del fuego valyrio;炎素の思わぬ活用法を見出す;예상치 못한 와일드파이어 사용을 목격한다;目睹一次无意使用的野火;目睹一次無意使用的野火;Erlebt den unerwarteten Einsatz von Seefeuer;Неожиданное использование дикого огня;Osserva un uso insolito dell'Altofuoco;Surpreenda-se com o fogo selvagem;The Lady of Winterfell;;La Dame de Winterfell;La Señora de Invernalia;ウィンターフェルの皇女;윈터펠의 숙녀;临冬城主;臨冬城主;Die Lady von Winterfell;Леди Винтерфелла;La Signora Grande Inverno;A Senhora de Winterfell
hidden;the Hidden;;(le Caché*la Cachée);(lo Oculto*la Oculta);隠れし者;숨겨진 자;隐者;隱者;(der*die) Verhüllte;Ваша Скрытность;(il Furtivo*la Furtiva);(o Furtivo*a Furtiva);Enter the tavern;;Entrer dans la taverne;Entrar en la taberna;酒場に入る;여관에 들어간다;进入酒馆;進入酒館;Betretet die Taverne;Войти в таверну;Entra nella taverna;Entre na taberna;;;;;;;;;;;;
brawl;the Dazed;;(le Brumeux*la Brumeuse);(el Aturdido*la Aturdida);呆然とした者;현혹된 자;昏头者;昏頭者;(der*die) Benommene;Ваша Гневность;(lo Sbalordito*la Sbalordita);(o Inebriado*a Inebriada);Win a tavern brawl;;Remporter un combat dans la taverne;Ganar una pelea en la taberna;酒場の乱闘に勝利する;여관 싸움에서 이긴다;赢得一次酒馆纠纷;贏得一次酒館糾紛;Gewinnt eine Tavernenschlägerei;Победить в пьяной драке;Vinci una rissa nella taverna;Vença uma briga na taberna;;;;;;;;;;;;
arya;the Witty;;(le Spirituel*la Spirituelle);(el Ingenioso*la Ingeniosa);機知に富む者;재치있는 자;多谋者;多謀者;(der*die) Gewitzte;Ваша Мудрость;(l'Astuto*l'Astuta);(o Sagaz*a Sagaz);Arrest the killer of Cersei's men;;Arrêter le tueur des hommes de Cersei;Averiguar quién es el asesino;サーセイの部下を殺した者を捕まえる;세르세이의 부하를 죽인 살인범을 체포한다;拘捕谋杀瑟曦手下的人;拘捕謀殺瑟曦手下的人;Verhaftet den Mörder von Cerseis Leuten;Поймать убийцу людей Серсеи;Chi ha ucciso gli uomini di Cersei?;Prenda quem matou os homens da Cersei;The Faceless Queen;;La Reine Sans-Visage;La Reina Sin Rostro;顔なき女王;얼굴 없는 여왕;无面女王;無面女王;Die Königin ohne Gesicht;Безликая Королева;La Regina senza Volto;A Rainha Sem Rosto
pentos;the Drunk;;l'Ivrogne;(el Borracho*la Borracha);杯を上げし者;술주정뱅이;醉酒者;醉酒者;(der*die) Betrunkene;Ваша Пьяность;(l'Ubriaco*l'Ubriaca);(o Bêbado*a Bêbada);Remember Pentos;;Souvenez-vous de Pentos;Recordar Pentos;ペントスに杯を上げる;펜토스를 기억한다;回忆起潘托斯;回憶起潘托斯;Denkt an Pentos;Вспомнить Пентос;Ricorda Pentos;Lembrança de Pentos;;;;;;;;;;;;
replace;the New Queen;;la Nouvelle Reine;la Nueva Reina;新たなる女王;새로운 여왕;新女王;新女王;die Neue Königin;Новая Королева;la Nuova Regina;a Nova Rainha;Replace Cersei on the throne;;Remplacer Cersei sur son Trône;Sustituir a Cersei en el trono;サーセイを玉座に迎える;세르세이를 왕좌에 앉힌다;取代王座上的瑟曦;取代王座上的瑟曦;Ersetzt Cersei auf dem Thron;Занять трон Серсеи;Sostituisci Cersei sul trono;Substitua Cersei no trono;;;;;;;;;;;;
cat;the Swift;;l'Agile;(el*la) Veloz;素早き者;기민한 자;敏捷者;敏捷者;(der*die) Flinke;Ваша Резвость;l'Agile;(o Ligeiro*a Ligeira);Catch a cat;;Attraper un chat;Atrapar un gato;ネコを捕まえる;고양이를 잡는다;抓住一只猫;抓住一只貓;Fangt einen Kater;Поймать кота;Prendi un gatto;Consiga pegar um gato;;;;;;;;;;;;
