tag;en_title (max: 17 char);tu_title;fr_title;es_title;jp_title;ko_title;sc_title;tc_title;de_title;ru_title;it_title;bp_title;en_description (max: 140 char);tu_description;fr_description;es_description;jp_description;ko_description;sc_description;tc_description;de_description;ru_description;it_description;bp_description
crusade_keep;Crusader;Haçlı;Croisé;Cruzado;聖戦の騎士;성전의 기사;圣战;聖戰;Kreuzritter;Крестоносец;Crociato;Cruzado;The slaughter of infidels is a lucrative way to decrease your population each year.;Kafir katliamı, her yıl nüfus kaybetmek için harika bir yoldur.;Le massacre des infidèles est une manière lucrative de diminuer votre population chaque année.;La masacre de infieles es una manera lucrativa de disminuir la población cada año.;異教徒を虐殺しつづければ、+国庫は潤うだろう。+ただし、国の人口はみるみる減っていく。;이교도를 계속 학살하면 국고는 늘어날 것입니다. 하지만 국가의 인구는 순식간에 줄어듭니다.;用屠杀异教徒的方法来减少本国人口，+相当有得赚。;用屠殺異教徒的方法來減少本國人口，+相當有得賺。;Das Abschlachten von Ungläubigen ist ein lukrativer Weg, jedes Jahr Eure Bevölkerung zu verringern.;Истребление неверующих — выгодный способ ежегодно сокращать население.;L’annuale sterminio di infedeli è un modo vantaggioso di ridurre la popolazione.;O massacre de infiéis é uma forma lucrativa de diminuir a população a cada ano.
isSlaver;Slaver;Köle Taciri;Esclavagiste;Esclavista;奴隷商;노예상;奴隶主;奴隸主;Sklavenhändler;Работорговец;Schiavista;Escravista;The slave trade gives you access to an infinite amount of cash. But what about your soul?;Köle ticareti sınırsız zenginlik sağlıyor. Peki ya ruhunuz?;Le commerce des esclaves vous donne accès à une infinie montagne de devises. Mais votre âme ?;La trata de esclavos os da acceso a una montaña de dinero al contado. Pero, ¿y vuestro alma?;奴隷の売買に手を染めれば、+無限の財が手に入る。+良心さえ痛まなければ、+なんの問題もない…;노예매매에 손을 대면 재물을 무한정 손에 넣을 수 있습니다. 양심에만 거리낄 것이 없다면 아무 문제도 없습니다.;奴隶贸易让你有花不尽的钱，+但试问你的灵魂又如何呢？;奴隸貿易讓你有花不盡的錢，+但試問你的靈魂又如何呢？;Der Sklavenhandel verspricht Einkünfte ohne Ende. Aber was ist mit Eurer Seele?;Работорговля дает вам неописуемую прибыль. Но что спасет вашу душу?;"La tratta degli schiavi Vi dà accesso a una quantità infinita di denaro; ma che ne è della Vostra anima?";A escravidão dá acesso a muito dinheiro... mas e a sua alma?
plague;Black Death;Kara Ölüm;Peste Noire;Peste Negra;黒死病;흑사병;黑死病;黑死病;Schwarzer Tod;Черная смерть;Morte nera;Peste negra;The plague is decimating your population. It's a bleak time to be a citizen of the Kingdom.;Veba halkınızı kırıp geçiriyor. Krallık halkı için kötü bir zaman.;La peste décime votre population. C'est une période sombre pour tout le royaume.;La peste diezma vuestra población. Es una época oscura para todo el reino.;疫病で民が次々と命を落としていく。+王国に暗黒の時代が訪れた。;역병으로 백성들이 목숨을 ​​잃어갑니다. 왕국에 암흑시대가 찾아왔습니다.;瘟疫让民众大批死亡，+这年头身为百姓就比较遭罪了。;瘟疫讓民眾大批死亡，+這年頭身為百姓就比較遭罪了。;Die Pest dezimiert Eure Bevölkerung. Eine düstere Epoche für das Königreich.;Чума уносит жизни ваших подданных. Мало кто захочет жить в вашем Королевстве в такое время.;La pestilenza sta decimando il Vostro popolo. È un momento cupo per i cittadini del Regno.;A praga está acabando com a população. São tempos difíceis para os cidadãos do reino.
isOblivious;Clarity;Berraklık;Clarté;Claridad;第六感;육감;澄澈;澄澈;Klarheit;Дающий забвение;Chiarezza;Ignorante;From now on, you will know how your decisions affect the Kingdom. Is it a gift or a malediction?;Artık kararlarınızın Krallığı nasıl etkileyeceğini bileceksiniz. Bu bir lütuf mu, lanet mi?;Désormais, vous saurez plus précisément de quelle manière vos décisions affectent le royaume. Est-ce un don ou une malédiction ?;A partir de ahora sabréis exactamente de qué manera afectan vuestras decisiones al resto del reino. ¿Un don o una maldición?;今後は、自らの決断が国に及ぼす影響を+正確に予見できるだろう。+これは祝福か…それとも呪いだろうか？;앞으로 자신의 결단이 국가에 미치는 영향을 정확하게 예견할 수 있을 것입니다. 이것은 축복일까요... 아니면 저주일까요?;从现在起，+你能清晰地看透自己的决定+将为王国带来怎样的影响，+这究竟是上天的馈赠，+还是恶毒的诅咒？;從現在起，+你能清晰地看透自己的決定+將為王國帶來怎樣的影響，+這究竟是上天的饋贈，+還是惡毒的詛咒？;Ab jetzt wisst Ihr genau, wie sich Eure Entscheidungen auf das Königreich auswirken. Ist das eine Gabe oder ein Fluch?;С этого момента вы будете знать, к чему приведут ваши решения. Дар или проклятие?;D’ora in poi saprete quali effetti hanno le Vostre decisioni sul Regno. È un dono o una maledizione?;De agora em diante, você saberá exatamente como suas decisões afetam o reino. É uma bênção ou uma maldição?
isDeaf;Old Age;İhtiyarlık;Grand Âge;Edad Avanzada;老いの衰え;노화;高龄;高齡;Hohes Alter;Старик;Età avanzata;Velhice;You won't be able to hear or understand properly. Scared, you try very hard to hide your ailment from the court.;Düzgün duyamayacak, anlayamayacaksınız. Korku içinde, hastalığınızı saraydan saklamak için elinizden geleni yapıyorsunuz.;Vous n'entendez ni ne comprenez plus correctement. Effrayé, vous essayez à tout prix de cacher votre infirmité à la cour.;No comprendéis ni oís correctamente. Asustado, intentáis a toda costa ocultar vuestro malestar a los otros miembros la corte.;人の声が聞き取りにくくなり、+もはや正しく理解できない。+自身の異変におびえた王は、+このことを周囲の者たちにひた隠しにする。;사람의 목소리가 잘 들리지 않아 정확히 알아들을 수 없습니다. 자신의 이변에 위협을 느낀 왕은 이를 주변 사람들에게 알리지 않을 것입니다.;你的耳背了，头昏了，+很难再听清和听懂别人的话。+为了不让臣下知道你的苦尽，+你惶恐地尽一切努力掩饰这一点。;你的耳背了，頭昏了，+很難再聽清和聽懂別人的話。+為了不讓臣下知道你的苦盡，+你惶恐地盡一切努力掩飾這一點。;Ihr hört und versteht nicht mehr richtig. Ängstlich versucht Ihr, Euer Leiden vor dem Hof zu verbergen.;Вы не сможете хорошо слышать и понимать людей. В ужасе, вы будете пытаться скрыть свою немощность от придворных.;Non riuscirete più a sentire o capire correttamente. In preda alla paura, cercate disperatamente di nascondere la malattia alla corte.;Você não ouvirá nem entenderá tudo. Assustado, você tentará a todo custo esconder sua debilidade da corte.
isLover;Lover;Sevdalı;Amant;Amante;愛の奴隷;사랑의 노예;情人;情人;Liebhaber;Любовник;Amante;Amante;You won't be able to say "no" to your paramour. The Church disapproves, but it mesmerizes your people.;Aşkınıza "hayır" diyemeyeceksiniz. Kilise bunu onaylamıyor ama halkınız buna hayran.;Vous ne pourrez plus dire "non" à votre paramour. L'Église désapprouve, mais cela fascine votre peuple.;No podéis decir "no" a vuestro amante. La Iglesia os desaprueba, pero el pueblo está fascinado.;王は、愛人の意見に+一切異を唱えられない。+教会は眉をひそめるが、+国民は王室のスキャンダルに夢中だ。;왕은 애인의 의견에 일체 이의를 제기할 수 없습니다. 교회는 눈살을 찌푸리지만 국민은 왕실의 스캔들에 열광합니다.;你无法对你的情人说“不”。+教会对你不满，+但民众却为之痴迷。;你無法對你的情人說“不”。+教會對你不滿，+但民眾卻為之癡迷。;Zu Eurer Mätresse könnt Ihr nicht "Nein" sagen. Die Kirche missbilligt es, aber Euer Volk ist fasziniert.;Вы не сможете отказать объекту вашей любви. Церковь этого не одобрит, зато народ будет просто очарован.;Vi è impossibile dire di “no” a un amante. La Chiesa disapprova, ma il popolo è incantato.;Você não saberá dizer “não” à sua amante. A Igreja não aprova, mas o povo fica fascinado.
intheDungeon;Enter the Pungeon;Zindanda Mahkum;Enter the Pungeon;Enter the Pungeon;エンター・ザ・…;던전의 미아;地牢探险;地牢探險;Enter the Pungeon;Пан или пропал;Prigione;Enter the Reignon;There's no way back and in your absence, the Kingdom ineluctably falls into anarchy.;Geri dönüş yok ve yokluğunuzda, kaçınılmaz biçimde, Krallığa kargaşa hakim oluyor.;Impossible de faire machine arrière. En votre absence, le Royaume sombre inéluctablement dans le chaos et l'anarchie.;No hay vuelta atrás. En vuestra ausencia, el reino cae inevitablemente en el caos.;ひとたびダンジョンに足を踏み入れれば、+後戻りはできない。+王の不在で無法状態となった国は、+たちまち荒れ果てるだろう。;일단 지하 감옥에 발을 디디면 되돌아갈 수 없습니다. 왕의 부재로 무법지대가 된 나라는 금세 파멸할 것입니다.;已无归途，没有你在的王国，+终于不可避免地陷入了混乱。;已無歸途，沒有你在的王國，+終於不可避免地陷入了混亂。;Es gibt keinen Weg zurück und in Eurer Abwesenheit verfällt das Königreich unweigerlich in Anarchie und Chaos.;Назад пути не будет, а в ваше отсутствие Королевство неизбежно впадет в анархию.;Impossibile fare marcia indietro. In Vostra assenza, il Regno cade ineluttabilmente nell’anarchia.;Agora não há volta, e o reino é tomado pela anarquia sem sua presença.
fortification_keep;High Walls;Yüksek Surlar;Hauts Murs;Altos Muros;高い城壁;높은 성벽;高墙;高牆;Hohe Mauern;Высокие стены;Alte mura;Paredes altas;The fortifications are an excellent way to repel invaders. Useful when your army is weak.;Surlar, işgalcileri püskürtmenin iyi bir yolu. Ordunuz zayıf olduğunda kullanışlı.;Les fortifications sont un excellent moyen de repousser les envahisseurs. Utile quand votre armée est au plus bas.;Las fortificaciones son una manera estupenda de expulsar al enemigo. Muy útiles cuando vuestras tropas están en baja forma.;城壁を築けば、敵の侵入を阻むことが+できる。軍が弱体化したときに、+そのありがたみがわかるだろう。;성벽을 쌓으면 적의 침입을 막을 수 있습니다. 군대가 약화되었을 때 그 고마움을 알게 될 것입니다.;高墙要塞最适合抵御侵略者，+军队孱弱时会派上用途。;高牆要塞最適合抵禦侵略者，+軍隊孱弱時會派上用途。;Die Befestigungen eignen sich hervorragend, um Invasoren abzuwehren. Nützlich, wenn Eure Armee schwach ist.;Укрепления здорово противостоят вторжениям. Это полезно, если ваша армия слаба.;Le fortificazioni sono un modo eccellente per respingere gli invasori. Utili se l’esercito è debole.;As fortificações são excelentes para repelir invasores. Útil se o seu exército for fraco.
strawberry_keep;The One;Eşsiz;L'Unique;El Único;最後の1株;마지막 1주;唯一;唯一;Die Einzige;Один-единственный;L'Unica;O escolhido;It's probably the last strawberry plant on earth. You keep it under heavy protection. ;Muhtemelen dünyadaki son çilek bitkisi. Ağır koruma altında tutuyorsunuz.;C'est probablement le dernier fraisier sur terre. Vous le maintenez sous haute protection.;Ésta es probablemenete la última mata de fresas sobre la faz de la tierra. Mantenedla a buen recaudo.;地球上に現存する、+最後のイチゴの株だ。+王はそれを厳重に守った。;지구상에 현존하는 마지막 딸기로, 왕은 딸기를 엄격하게 지킵니다.;这或许是世间最后一株草莓，+你格外小心地守着它。;這或許是世間最後一株草莓，+你格外小心地守著它。;Wahrscheinlich ist es die letzte Erdbeerpflanze der Welt. Ihr lasst sie streng bewachen.;Вероятно, это последний кустик клубники на планете. Охраняйте его днем и ночью.;Si tratta forse dell’ultima pianta di fragole sulla Terra. Date ordine di proteggerla a tutti i costi.;Provavelmente o último morango do planeta. Proteja-o, custe o que custar.
centralbank_keep;Money Money;Para Para Para;Money Money;Money Money;金融界の後ろ盾;금융계의 후원;钱，好多钱;錢，好多錢;Money Money;Деньги, деньги;Soldi soldi;Tudo por dinheiro;The central bank protects you from bankruptcy. You just have to create more money when you need it. Genius!;Merkez bankası sizi iflastan koruyor. Tek yapmanız gereken ihtiyaç olduğunda daha fazla para basmak. Dahice!;La banque centrale vous protège de la banqueroute. Vous n'avez qu'à créer plus d'argent quand vous en avez besoin. Pur génie !;La banca central os protege de la bancarrota. Solo tenéis que generar más dinero cuando lo necesitéis. ¡Genial!;財政難に陥ったとき、+中央銀行が保護してくれるだろう。+資金が足りなくなったら、+いくらでも貨幣をつくればいい！;재정난에 빠졌을 때 중앙은행이 보호해 줍니다.자금이 부족하면 얼마든지 화폐를 만들면 됩니다!;中央银行能让你免受破产之灾，+只要在需要钱时多铸造些就行了，+真是天才！;中央銀行能讓你免受破產之災，+只要在需要錢時多鑄造些就行了，+真是天才！;Die Zentralbank bewahrt Euch vor dem Bankrott. Ihr könnt einfach mehr Geld herstellen, wenn Ihr es braucht. Genial!;Центральный банк защищает вас от банкротства. Когда вам понадобятся деньги, просто сделайте их. Гениально!;La banca centrale vi protegge dalla bancarotta. Vi basta creare altro denaro quando serve. Genio!;O banco central protege você contra a falência. Você só precisa gerar mais dinheiro quando precisar. Genial!
